PID,Product_ID,Vendor_ID,Product_Name,Product_Category,Launch_Date,License_Type,Base_Price,Currency,Product_Features,Version,Maturity,Support_Level,Documentation_Quality,API_Available,Integration_Complexity
PID-34C7E83D7C01,P00041,V0008,Communication Hope Pro,Communication,2021-07-11,Unlimited,51,USD,11,1.1.2,Legacy,Basic,Poor,False,High
PID-686279FA16BB,P00042,V0008,HR Study Pro,HR,2024-08-26,Per Transaction,829,USD,5,5.3.0,Beta,Basic,Excellent,True,High
PID-674B8504C88E,P00043,V0008,Communication Room Premium,Communication,2022-11-14,Per GB,903,USD,12,3.0.7,Legacy,Basic,Good,True,High
PID-3BD336A3855D,P00044,V0008,Operations Choose Premium,Operations,2021-04-23,Unlimited,337,USD,4,5.2.5,Beta,Basic,Good,False,Low
PID-C3E4D0ABD662,P00045,V0009,Productivity Technology Pro,Productivity,2024-01-07,Per User,379,USD,14,5.1.9,Beta,Premium,Excellent,False,Medium
PID-66EEF881C862,P00046,V0009,Security Quality Enterprise,Security,2021-08-25,Per User,933,USD,12,4.5.4,Stable,Basic,Good,True,Low
PID-9166E4A2DE5F,P00047,V0009,Analytics Method Basic,Analytics,2024-09-14,Per Transaction,213,USD,10,5.7.0,Beta,Premium,Poor,False,Medium
PID-DD5CF97D2C3F,P00048,V0009,Finance Police Premium,Finance,2021-02-02,Per GB,234,USD,12,3.2.3,Beta,Premium,Good,True,Medium
PID-9DB1C127D739,P00049,V0009,Communication Brother Basic,Communication,2022-12-24,Per Hour,21,USD,15,1.9.8,Stable,Premium,Poor,False,High
PID-CF3FE63A8484,P00050,V0010,Marketing Toward Pro,Marketing,2024-09-17,Per GB,177,USD,8,4.6.3,Legacy,Premium,Poor,True,Low
PID-A4FB2C723E60,P00051,V0010,Finance Let Basic,Finance,2022-12-30,Per Transaction,915,USD,12,4.8.1,Stable,Basic,Excellent,True,Low
PID-A687285273BC,P00052,V0010,Database Staff Basic,Database,2021-03-13,Per Device,966,USD,10,3.3.7,Beta,Basic,Good,False,Medium
PID-26DEE0E63578,P00053,V0010,Operations Traditional Enterprise,Operations,2023-05-08,Per Device,601,USD,10,1.5.3,Stable,Premium,Good,False,Low
PID-444FFA844AE0,P00054,V0010,Database Color Premium,Database,2024-10-21,Per Hour,55,USD,12,1.6.5,Beta,Enterprise,Good,False,High
PID-1FB0260B6AB2,P00055,V0010,Security Reason Basic,Security,2022-01-19,Per Transaction,747,USD,3,5.4.3,Beta,Basic,Excellent,False,Medium
PID-DD09A683BEB6,P00056,V0010,Analytics Sister Enterprise,Analytics,2023-03-11,Per User,276,USD,8,3.8.5,Beta,Enterprise,Poor,True,Low
PID-2DFA98E735AE,P00057,V0011,Security Style Premium,Security,2024-08-07,Per GB,122,USD,10,5.5.5,Stable,Basic,Good,False,High
PID-5F06E59F9410,P00058,V0011,Communication Recently Premium,Communication,2020-12-25,Unlimited,748,USD,11,2.0.6,Legacy,Enterprise,Poor,True,High
PID-5349C30FF131,P00059,V0011,Operations Feeling Pro,Operations,2024-10-24,Per Transaction,921,USD,4,4.7.0,Stable,Basic,Excellent,False,Low
PID-B445033DD287,P00060,V0012,Analytics Police Basic,Analytics,2020-05-26,Per User,433,USD,7,1.3.5,Legacy,Premium,Excellent,True,High
PID-BDB4B46EEDCD,P00061,V0012,Communication History Premium,Communication,2023-03-23,Per Hour,793,USD,15,4.7.4,Legacy,Premium,Good,False,Low
PID-2EEE068894D2,P00062,V0012,HR Against Premium,HR,2021-10-21,Per Device,586,USD,3,4.7.2,Beta,Enterprise,Excellent,False,High
PID-7C31FCC6AEE4,P00063,V0012,Finance Raise Basic,Finance,2020-07-24,Unlimited,861,USD,3,4.2.6,Legacy,Premium,Excellent,True,Medium
PID-6E299131BD9E,P00064,V0012,Finance That Premium,Finance,2021-04-29,Per Device,821,USD,3,1.1.2,Beta,Premium,Poor,True,Medium
PID-A945F54B00C3,P00065,V0012,Marketing Believe Enterprise,Marketing,2023-07-21,Per Hour,927,USD,5,5.2.3,Legacy,Premium,Excellent,False,High
PID-A14C983E00DD,P00066,V0012,Database None Pro,Database,2023-10-31,Per User,966,USD,9,4.4.5,Stable,Basic,Poor,False,High
PID-BE8CBF83F4EE,P00067,V0012,Security Need Premium,Security,2022-08-12,Per User,505,USD,8,4.3.0,Beta,Enterprise,Excellent,False,High
PID-13F650A6A67E,P00068,V0012,Marketing Peace Enterprise,Marketing,2024-10-24,Per GB,219,USD,11,3.2.3,Stable,Premium,Good,False,High
PID-B28EE841424E,P00069,V0012,Database Grow Basic,Database,2022-06-28,Per User,608,USD,5,1.0.3,Beta,Basic,Excellent,True,Low
PID-0B9373C62A6B,P00070,V0012,Analytics Value Basic,Analytics,2024-01-12,Per Hour,54,USD,10,4.5.5,Legacy,Enterprise,Poor,True,Medium
PID-23A0260B05A6,P00071,V0012,HR Everyone Premium,HR,2021-09-06,Per GB,499,USD,15,5.9.0,Legacy,Enterprise,Excellent,False,Medium
PID-A6A54F4B2087,P00072,V0013,Security Recent Basic,Security,2022-10-19,Unlimited,718,USD,10,1.0.3,Legacy,Basic,Good,False,High
PID-723B846B4E3C,P00073,V0013,Productivity Us Premium,Productivity,2022-05-23,Per Transaction,355,USD,4,1.2.4,Stable,Basic,Excellent,False,High
PID-2FFA2245A4E9,P00074,V0013,Finance Rise Premium,Finance,2023-03-10,Unlimited,560,USD,14,2.3.2,Legacy,Basic,Poor,True,Low
PID-F38CB69E9674,P00075,V0013,Analytics Assume Premium,Analytics,2021-04-16,Per GB,317,USD,15,5.7.1,Legacy,Premium,Excellent,False,Low
PID-996C844FEC86,P00076,V0013,Finance Man Basic,Finance,2022-05-09,Per GB,33,USD,8,3.4.2,Stable,Premium,Poor,True,High
PID-7F4E57BB6E83,P00077,V0013,Marketing Difficult Enterprise,Marketing,2024-08-04,Per Hour,740,USD,6,2.1.5,Beta,Enterprise,Good,False,Medium
PID-35440547B12C,P00078,V0014,Database Available Pro,Database,2020-12-29,Unlimited,376,USD,15,4.5.8,Beta,Enterprise,Excellent,True,Low
PID-1E44CDDEF6E8,P00079,V0014,Analytics Stand Premium,Analytics,2020-01-02,Per Transaction,107,USD,4,3.0.1,Stable,Premium,Good,True,Low
PID-EE27D7AD2D13,P00080,V0015,Analytics Produce Basic,Analytics,2022-07-04,Per Transaction,474,USD,9,4.9.1,Stable,Enterprise,Poor,True,Low
PID-4C732B7B4570,P00081,V0015,Marketing Sell Basic,Marketing,2021-06-02,Per Device,821,USD,10,2.6.1,Legacy,Enterprise,Excellent,True,High
PID-C77BBE05758C,P00082,V0016,Communication Physical Premium,Communication,2024-04-30,Per Transaction,836,USD,5,3.6.8,Legacy,Basic,Good,True,Low
PID-C8FBEE80A175,P00083,V0016,Finance Teach Premium,Finance,2023-09-18,Per GB,80,USD,3,1.6.7,Beta,Basic,Good,False,High
PID-956BCD5CE19C,P00084,V0016,HR Environmental Basic,HR,2023-05-02,Per Device,976,USD,14,4.7.0,Beta,Enterprise,Good,False,Low
PID-FAC8076A2AF4,P00085,V0016,Security Someone Premium,Security,2023-05-09,Per Transaction,287,USD,6,4.8.9,Legacy,Basic,Poor,False,Low
PID-C79E3CF29531,P00086,V0016,Database Paper Premium,Database,2022-09-12,Per User,980,USD,13,3.5.3,Beta,Basic,Poor,True,High
PID-96CA3AA643B2,P00087,V0017,Development Want Enterprise,Development,2021-04-08,Per Transaction,80,USD,7,3.0.7,Stable,Basic,Poor,True,Medium
PID-0EE3354A3054,P00088,V0017,Security Military Pro,Security,2024-09-29,Per GB,371,USD,12,5.4.1,Stable,Basic,Good,False,High
PID-4BA6244434CB,P00089,V0017,Analytics Pass Enterprise,Analytics,2020-01-13,Per GB,737,USD,13,1.1.2,Legacy,Basic,Good,True,Medium
PID-D1A0A7BD5933,P00090,V0017,Analytics Wind Enterprise,Analytics,2021-10-26,Per Device,738,USD,4,2.5.4,Legacy,Basic,Poor,False,Low
PID-7B1D26ED31F2,P00091,V0018,HR Focus Basic,HR,2023-08-15,Per Device,344,USD,7,2.4.2,Stable,Enterprise,Poor,True,Low
PID-0818185221F0,P00092,V0018,Database Teach Basic,Database,2021-06-14,Per GB,310,USD,14,5.7.9,Beta,Basic,Excellent,False,High
PID-14E084BE0FBF,P00093,V0018,Finance Style Pro,Finance,2020-02-07,Per Hour,371,USD,5,5.7.0,Stable,Enterprise,Excellent,False,Medium
PID-71C60EFD9CD3,P00094,V0018,Finance From Enterprise,Finance,2022-01-12,Per Transaction,117,USD,10,3.3.7,Legacy,Enterprise,Excellent,False,High
PID-3B0D080F6826,P00095,V0018,Operations Market Pro,Operations,2020-05-14,Per User,152,USD,11,4.7.9,Legacy,Premium,Excellent,False,High
PID-EF461B11020F,P00096,V0019,Communication Issue Basic,Communication,2020-10-16,Per Device,729,USD,4,1.9.6,Stable,Enterprise,Good,True,Medium
PID-78FACED354B4,P00097,V0019,Communication Interesting Basic,Communication,2024-09-22,Per Hour,512,USD,10,4.4.9,Legacy,Premium,Poor,False,High
PID-E2A24CB5E7B3,P00098,V0020,Development Manage Basic,Development,2023-05-24,Per GB,710,USD,9,5.4.4,Stable,Enterprise,Excellent,True,Medium
PID-B7C3DF572DE8,P00099,V0020,Communication Building Pro,Communication,2023-01-17,Per GB,99,USD,10,5.4.2,Legacy,Enterprise,Good,True,High
PID-07C47576E292,P00100,V0020,Operations Sit Pro,Operations,2023-07-26,Per Device,730,USD,4,2.4.3,Legacy,Premium,Excellent,False,Medium
PID-69FC1C83D6E2,P00101,V0020,Finance Everything Premium,Finance,2021-12-10,Per User,789,USD,15,1.3.0,Stable,Enterprise,Poor,False,High
PID-B8309513B06B,P00102,V0021,Security Rich Basic,Security,2024-05-21,Per Device,237,USD,8,5.3.6,Legacy,Enterprise,Good,False,High
PID-55454C0079AF,P00103,V0021,Marketing Third Basic,Marketing,2021-04-21,Per Device,741,USD,9,2.1.9,Legacy,Enterprise,Good,True,Low
PID-12A766B5B207,P00104,V0021,Development Law Pro,Development,2022-07-25,Per Transaction,635,USD,3,4.1.5,Legacy,Enterprise,Poor,False,Medium
PID-B55652E6855D,P00105,V0021,Security Democrat Enterprise,Security,2022-10-03,Per GB,686,USD,7,3.7.8,Beta,Enterprise,Excellent,False,Medium
PID-9E903F384AB9,P00106,V0021,HR Executive Basic,HR,2020-04-28,Per Device,13,USD,4,4.9.4,Beta,Enterprise,Good,True,Medium
PID-19B266F0761B,P00107,V0021,Marketing Discuss Enterprise,Marketing,2023-07-30,Unlimited,644,USD,15,1.7.9,Beta,Basic,Poor,True,High
PID-0C171B36CEC3,P00108,V0021,Database Recently Basic,Database,2021-12-28,Per Hour,818,USD,13,4.4.6,Beta,Basic,Good,True,High
PID-7F612561274B,P00109,V0021,HR Smile Enterprise,HR,2020-02-29,Per Device,922,USD,5,5.5.1,Stable,Enterprise,Poor,True,Medium
PID-3517899A9FB2,P00110,V0022,Analytics Now Pro,Analytics,2024-12-09,Per Hour,928,USD,3,4.0.0,Legacy,Premium,Poor,True,Medium
PID-A2EF07A384AF,P00111,V0022,Analytics Order Enterprise,Analytics,2022-10-18,Per User,978,USD,3,1.1.1,Stable,Premium,Excellent,False,High
PID-4537E7D18922,P00112,V0022,Analytics Already Enterprise,Analytics,2024-01-12,Unlimited,20,USD,13,3.1.8,Stable,Premium,Good,False,Medium
PID-9FD2FD28088D,P00113,V0022,Development Share Premium,Development,2020-03-11,Per GB,555,USD,15,3.6.8,Stable,Enterprise,Excellent,True,High
PID-E33715EF068C,P00114,V0022,HR Traditional Basic,HR,2023-10-20,Per User,548,USD,14,4.5.3,Stable,Enterprise,Good,False,Medium
PID-D052A6E11C54,P00115,V0023,Productivity Name Enterprise,Productivity,2021-11-02,Per GB,554,USD,15,1.4.2,Legacy,Enterprise,Excellent,True,Low
PID-BFF8BB928458,P00116,V0023,Communication Low Basic,Communication,2020-05-07,Per GB,222,USD,9,5.4.6,Stable,Basic,Excellent,True,High
PID-DCFB2A878766,P00117,V0023,Development Commercial Pro,Development,2023-03-15,Per Device,835,USD,8,4.2.4,Beta,Enterprise,Excellent,True,Medium
PID-B8A9B598556A,P00118,V0023,Communication Campaign Pro,Communication,2021-01-19,Per Transaction,540,USD,12,1.3.1,Stable,Basic,Good,False,Medium
PID-95F9C8C433F3,P00119,V0024,Development Generation Basic,Development,2020-09-17,Per User,517,USD,11,1.0.6,Legacy,Basic,Good,False,High
PID-D2FFA97E1871,P00120,V0024,HR Citizen Premium,HR,2023-02-10,Per Transaction,707,USD,15,2.7.1,Stable,Enterprise,Poor,True,High
PID-5A1130049962,P00121,V0024,Productivity Image Enterprise,Productivity,2021-02-01,Per Device,458,USD,15,5.0.4,Beta,Enterprise,Poor,False,High
PID-016AD0C27AA4,P00122,V0025,HR Behavior Enterprise,HR,2020-04-10,Per GB,804,USD,4,5.0.3,Beta,Enterprise,Excellent,True,High
PID-397436B9688F,P00123,V0025,Database All Premium,Database,2021-08-09,Per Device,656,USD,9,4.7.8,Legacy,Enterprise,Excellent,False,High
PID-EF4F3927D79B,P00124,V0025,Analytics Just Enterprise,Analytics,2020-12-11,Per Hour,629,USD,4,4.4.2,Beta,Premium,Good,True,Medium
PID-DE3FE346D2A9,P00125,V0026,Database Budget Basic,Database,2023-08-22,Per Hour,47,USD,8,1.6.7,Stable,Premium,Poor,True,Low
PID-8E204C025716,P00126,V0026,Operations Teach Basic,Operations,2023-11-18,Per User,534,USD,3,3.3.9,Legacy,Premium,Excellent,False,Low
PID-8E962D957BD8,P00127,V0026,Marketing Always Basic,Marketing,2022-01-04,Per Device,951,USD,5,5.2.9,Beta,Basic,Good,True,Low
PID-5559BDFFF4DE,P00128,V0026,Analytics Skill Premium,Analytics,2024-03-06,Per GB,407,USD,10,5.0.3,Stable,Enterprise,Poor,False,High
PID-6EB46FE6E1E8,P00129,V0026,Database Foreign Basic,Database,2020-10-18,Per Hour,771,USD,11,5.7.2,Legacy,Premium,Good,False,Low
PID-EA05A93A56B8,P00130,V0026,Operations Herself Basic,Operations,2021-06-10,Per GB,964,USD,13,1.5.7,Beta,Premium,Poor,True,Medium
PID-86ECEDD7DE1C,P00131,V0026,Analytics Smile Pro,Analytics,2024-08-22,Per Hour,197,USD,3,2.8.2,Legacy,Enterprise,Poor,False,High
PID-6A72AF65A0A4,P00132,V0026,Operations Same Premium,Operations,2024-07-30,Unlimited,673,USD,9,4.5.6,Stable,Premium,Poor,False,Low
PID-EEE2199F5300,P00133,V0026,Analytics Any Enterprise,Analytics,2023-04-27,Unlimited,95,USD,13,3.8.3,Stable,Premium,Excellent,False,Medium
PID-C49B49D44CDF,P00134,V0027,Operations Close Basic,Operations,2020-04-16,Unlimited,281,USD,13,5.9.4,Beta,Enterprise,Poor,True,Medium
PID-18660A1DDD4A,P00135,V0027,Communication Executive Enterprise,Communication,2024-01-17,Per Device,797,USD,3,2.1.0,Beta,Basic,Excellent,True,High
PID-61ECF3017DD4,P00136,V0027,Productivity What Pro,Productivity,2020-08-12,Per Device,552,USD,5,4.5.0,Legacy,Enterprise,Good,True,Medium
PID-3717AD517305,P00137,V0027,Operations Black Basic,Operations,2020-08-30,Per Hour,720,USD,8,5.3.8,Legacy,Basic,Excellent,False,Medium
PID-DCD67B3B3062,P00138,V0027,Security Society Pro,Security,2020-09-26,Per GB,64,USD,14,2.2.9,Beta,Premium,Poor,False,Medium
PID-64806BE2E3FB,P00139,V0028,Operations Run Premium,Operations,2023-03-03,Unlimited,435,USD,12,4.9.8,Legacy,Enterprise,Excellent,False,Low
PID-05E215EE317D,P00140,V0028,Productivity Through Enterprise,Productivity,2020-12-04,Per Device,410,USD,12,4.1.1,Beta,Premium,Excellent,False,High
PID-1779D77A5E5F,P00141,V0028,Analytics Require Pro,Analytics,2020-07-30,Per Hour,232,USD,5,4.3.7,Legacy,Enterprise,Excellent,True,Low
PID-408946F2092F,P00142,V0029,Security So Premium,Security,2020-06-17,Unlimited,295,USD,8,5.1.2,Legacy,Enterprise,Poor,True,Low
PID-BF1352936AB0,P00143,V0029,Security Nothing Pro,Security,2020-10-26,Per User,422,USD,8,2.7.3,Stable,Basic,Poor,False,High
PID-050D52E5B23E,P00144,V0029,Security Write Premium,Security,2023-12-12,Per GB,148,USD,7,5.9.3,Legacy,Basic,Excellent,True,Low
PID-4C6596605480,P00145,V0030,Analytics Style Premium,Analytics,2020-03-09,Unlimited,713,USD,8,5.8.8,Stable,Premium,Excellent,False,Medium
PID-CB7B8D14A2C0,P00146,V0030,Database Effect Pro,Database,2024-11-14,Per Transaction,873,USD,3,5.9.7,Stable,Enterprise,Poor,True,Low
PID-9AFB0E8BE7D0,P00147,V0030,Database Soon Premium,Database,2020-11-11,Per Transaction,326,USD,6,4.7.3,Stable,Basic,Excellent,False,Low
PID-F5E1999E27BC,P00148,V0030,Marketing Hear Basic,Marketing,2022-12-21,Per Device,713,USD,7,3.8.5,Legacy,Basic,Poor,True,Low
PID-7C35CBDDCEFF,P00149,V0031,Operations Necessary Pro,Operations,2021-11-26,Per User,861,USD,4,4.5.3,Legacy,Premium,Excellent,True,High
PID-0FE328F297C3,P00150,V0031,Communication System Enterprise,Communication,2024-09-26,Per Transaction,628,USD,4,4.7.9,Beta,Premium,Good,False,High
PID-C1FD66BD7DB2,P00151,V0031,Database Minute Enterprise,Database,2020-08-15,Per Transaction,219,USD,8,4.2.4,Legacy,Enterprise,Good,True,Low
PID-BA1895887401,P00152,V0031,Finance Modern Pro,Finance,2022-10-19,Per GB,772,USD,4,5.4.0,Stable,Enterprise,Poor,True,Low
PID-65A9CCE782B7,P00153,V0031,Analytics Enter Enterprise,Analytics,2023-11-10,Per Hour,728,USD,9,3.5.4,Beta,Enterprise,Excellent,False,High
PID-1BA6CDEEF60A,P00154,V0031,Analytics Door Premium,Analytics,2020-11-17,Per GB,544,USD,7,5.5.7,Stable,Enterprise,Good,True,Medium
PID-8E8B8EE59B2D,P00155,V0031,Communication A Basic,Communication,2021-03-16,Per Device,651,USD,12,2.8.1,Beta,Basic,Excellent,False,Low
PID-B84D2F94CF0B,P00156,V0032,Marketing I Enterprise,Marketing,2022-08-04,Per Device,712,USD,8,1.8.2,Stable,Enterprise,Excellent,True,Low
PID-7E8090DC57D7,P00157,V0032,Marketing Provide Enterprise,Marketing,2021-04-07,Per Hour,63,USD,10,4.1.2,Legacy,Basic,Good,True,Medium
PID-4E7CCB3EB319,P00158,V0032,Marketing Put Pro,Marketing,2024-07-30,Per Hour,850,USD,8,1.3.4,Beta,Basic,Excellent,False,Low
PID-E0864D4BB9FC,P00159,V0033,Marketing Art Enterprise,Marketing,2021-10-13,Per GB,741,USD,10,4.6.2,Beta,Premium,Poor,False,High
PID-499C6616DE21,P00160,V0033,Finance Edge Enterprise,Finance,2023-06-22,Per User,126,USD,11,4.9.5,Beta,Basic,Poor,False,Low
PID-28C7F814416C,P00161,V0033,Productivity His Premium,Productivity,2023-09-17,Unlimited,409,USD,14,1.2.8,Stable,Basic,Excellent,True,High
PID-D453D67A132A,P00162,V0033,Operations Particularly Basic,Operations,2023-09-04,Per Device,730,USD,15,1.7.7,Stable,Enterprise,Poor,False,Low
PID-7477412DABE0,P00163,V0034,Analytics Help Enterprise,Analytics,2021-01-06,Per Hour,206,USD,8,3.9.5,Legacy,Basic,Poor,True,High
PID-A47ED6762765,P00164,V0034,Security Last Pro,Security,2024-08-11,Per Transaction,672,USD,15,3.5.6,Beta,Premium,Excellent,False,Medium
PID-F9AF16F9840E,P00165,V0034,Analytics Few Enterprise,Analytics,2021-02-03,Per Transaction,671,USD,3,4.1.1,Beta,Premium,Good,True,Medium
PID-E9CCF3192E95,P00166,V0034,Analytics Feeling Basic,Analytics,2020-03-30,Per Transaction,324,USD,8,5.8.2,Stable,Premium,Good,True,Medium
PID-ADF9B4F224F6,P00167,V0034,Security Green Premium,Security,2021-06-24,Per User,537,USD,6,2.1.0,Stable,Basic,Poor,True,High
PID-FF6FED175DA5,P00168,V0034,HR Spring Basic,HR,2024-12-11,Per User,589,USD,6,4.5.9,Beta,Premium,Poor,True,Low
PID-399BF1A0FC9E,P00169,V0034,Development Leader Basic,Development,2022-12-16,Unlimited,555,USD,5,2.0.2,Stable,Premium,Good,False,High
PID-B02E222C5F8F,P00170,V0034,Security Move Pro,Security,2023-09-12,Per Device,74,USD,3,1.7.7,Legacy,Premium,Excellent,True,Low
PID-49CB29CF6223,P00171,V0034,Communication Skill Pro,Communication,2022-09-14,Per Device,863,USD,15,1.7.5,Stable,Basic,Excellent,True,High
PID-2C0142CFD095,P00172,V0034,Marketing Weight Premium,Marketing,2021-10-16,Per Device,759,USD,9,5.1.0,Beta,Premium,Excellent,False,Low
PID-385E53A91363,P00173,V0034,Analytics Born Premium,Analytics,2021-12-10,Per GB,506,USD,12,2.0.2,Beta,Basic,Good,True,Medium
PID-A0E6AADCC61F,P00174,V0034,Finance Commercial Pro,Finance,2020-10-25,Per GB,709,USD,6,4.7.9,Beta,Enterprise,Excellent,False,Medium
PID-4355BBAFB582,P00175,V0034,Database Theory Enterprise,Database,2020-04-13,Unlimited,262,USD,8,1.8.7,Stable,Enterprise,Excellent,False,Low
PID-939DF70506A9,P00176,V0034,Operations Base Pro,Operations,2023-11-26,Per Hour,848,USD,14,3.8.5,Legacy,Premium,Excellent,True,High
PID-FAA6309B93DB,P00177,V0034,Productivity International Enterprise,Productivity,2023-07-11,Per User,304,USD,4,2.5.5,Stable,Premium,Good,False,Low
