PID,Renewal_ID,License_ID,Customer_ID,Product_ID,Renewal_Date,Previous_Contract_Value,New_Contract_Value,Renewal_Type,Renewal_Duration,Discount_Applied,Renewal_Status,Negotiation_Days,Decision_Maker_Change,Competitive_Threat,Upsell_Opportunity,Cross_sell_Products
PID-710F0A8FA8C6,R000025,L000014,C00004,P00268,2024-03-17,75210,89499.9,Manual,365,15,Declined,17,False,False,True,3
PID-C99C7FDB9CF6,R000026,L000015,C00004,P00026,2022-04-13,78873,80450.46,Automatic,730,4,Pending,24,False,True,True,2
PID-8B5B11DED8B4,R000027,L000015,C00004,P00026,2023-04-13,78873,66253.32,Automatic,730,7,Pending,21,True,False,True,0
PID-AF57364E5968,R000028,L000016,C00004,P00025,2023-01-17,37232,33136.48,Automatic,1095,24,Pending,19,True,True,True,2
PID-41FE35AB0E1E,R000029,L000016,C00004,P00025,2023-04-17,37232,41327.52,Negotiated,365,1,Completed,7,False,True,False,1
PID-F88693D53F1B,R000030,L000016,C00004,P00025,2023-07-16,37232,34998.08,Manual,365,0,Pending,19,True,True,True,2
PID-DD92D53D16DC,R000031,L000017,C00005,P00081,2022-03-30,89489,93963.45,Manual,730,1,Pending,20,True,False,True,0
PID-D935D2D8E409,R000032,L000017,C00005,P00081,2023-03-30,89489,86804.33,Automatic,730,1,Declined,28,False,False,True,1
PID-8E7E9DEC456A,R000033,L000017,C00005,P00081,2024-03-29,89489,71591.2,Manual,365,20,Completed,20,False,False,True,0
PID-3AA04579A29F,R000034,L000018,C00005,P00080,2025-09-24,71574,85888.8,Manual,730,20,Declined,7,False,False,False,2
PID-2C4434A64A5F,R000035,L000019,C00005,P00043,2024-06-20,183309,163145.01,Automatic,365,10,Declined,26,True,False,True,2
PID-CADE108DB620,R000036,L000020,C00005,P00002,2022-05-10,184520,177139.2,Negotiated,730,2,Completed,3,True,True,False,1
PID-09FEA2E63966,R000037,L000021,C00005,P00001,2024-06-12,136218,129407.1,Manual,365,15,Declined,8,True,True,True,0
PID-B2E2E8A5C494,R000038,L000021,C00005,P00001,2024-07-12,136218,117147.48,Automatic,365,24,Completed,0,True,False,True,0
PID-45DB8B08B35F,R000039,L000022,C00005,P00261,2021-07-06,478,391.96,Negotiated,1095,10,Completed,10,False,False,True,1
PID-7B99BA93CF6F,R000040,L000023,C00006,P00129,2024-07-26,133383,109374.06,Automatic,1095,25,Declined,5,False,True,False,2
PID-DE60F7966DB3,R000041,L000024,C00006,P00130,2025-02-03,249676,249676.0,Negotiated,365,21,Pending,23,True,True,True,0
PID-70D4BD5F8584,R000042,L000025,C00006,P00058,2025-01-16,20944,21781.76,Automatic,365,8,Declined,4,True,False,True,0
PID-4603B78017F8,R000043,L000025,C00006,P00058,2027-01-16,20944,17802.4,Manual,1095,4,Pending,24,True,False,False,3
PID-5C13827E9CF8,R000044,L000026,C00006,P00059,2022-10-14,24867,24120.99,Manual,365,15,Pending,15,False,True,False,1
PID-A50DCB41099E,R000045,L000026,C00006,P00059,2022-11-13,24867,25115.67,Negotiated,365,8,Declined,30,False,False,True,1
PID-CBD7CBC398F5,R000046,L000027,C00006,P00057,2026-04-09,33672,34345.44,Negotiated,730,8,Pending,18,False,True,False,1
PID-66FFF875BB29,R000047,L000027,C00006,P00057,2028-04-08,33672,31314.96,Automatic,1095,16,Declined,0,True,True,False,2
PID-FF24CF7CC8C3,R000048,L000027,C00006,P00057,2030-04-08,33672,36702.48,Negotiated,365,8,Completed,13,False,False,True,0
PID-DEC072A2E741,R000049,L000028,C00007,P00232,2023-02-17,93927,84534.3,Manual,730,21,Declined,22,False,False,False,3
PID-B809D778CC1A,R000050,L000028,C00007,P00232,2025-02-16,93927,100501.89,Negotiated,365,16,Pending,21,False,False,False,3
PID-BA2B5500EA35,R000051,L000028,C00007,P00232,2027-02-16,93927,99562.62,Manual,1095,16,Completed,2,True,True,False,3
PID-507B3740EA9C,R000052,L000029,C00007,P00230,2021-07-07,77033,75492.34,Manual,730,13,Declined,1,True,False,True,1
PID-D3838176A145,R000053,L000032,C00007,P00039,2025-06-16,9690,9011.7,Manual,1095,21,Declined,0,False,True,True,2
PID-857F254A7275,R000054,L000032,C00007,P00039,2026-06-16,9690,9980.7,Manual,365,9,Completed,9,True,False,True,3
PID-67701076B67C,R000055,L000032,C00007,P00039,2027-06-16,9690,8817.9,Negotiated,1095,23,Pending,19,True,True,False,1
PID-C0E428E031BE,R000056,L000033,C00007,P00040,2025-08-28,26496,25171.2,Negotiated,730,24,Pending,23,True,True,False,3
PID-D8696CF84FF4,R000057,L000033,C00007,P00040,2026-08-28,26496,24376.32,Automatic,730,10,Completed,14,True,True,False,1
PID-202CB15D34B2,R000058,L000033,C00007,P00040,2027-08-28,26496,23846.4,Negotiated,730,6,Declined,24,False,False,False,1
PID-B64ABDC6A7E2,R000059,L000034,C00008,P00144,2022-03-03,40848,42481.92,Negotiated,1095,25,Declined,14,False,False,False,3
PID-3819A34E4F2D,R000060,L000034,C00008,P00144,2023-03-03,40848,37171.68,Manual,730,12,Pending,0,False,True,False,2
PID-FF66D1DCBE77,R000061,L000034,C00008,P00144,2024-03-02,40848,35537.76,Automatic,1095,9,Declined,12,False,False,True,1
PID-DC2577B8BA17,R000062,L000035,C00009,P00182,2021-12-27,3068,3037.32,Automatic,365,5,Completed,28,False,False,False,2
PID-90E9C40BE7E2,R000063,L000035,C00009,P00182,2022-03-27,3068,3374.8,Automatic,1095,1,Completed,29,False,False,True,0
PID-0E017F0BD75D,R000064,L000036,C00009,P00190,2024-08-03,1015,1146.95,Manual,365,14,Declined,25,False,True,False,0
PID-04DFA078D818,R000065,L000037,C00009,P00266,2020-06-04,25916,25656.84,Negotiated,730,7,Declined,7,True,False,True,2
PID-B2C8BBD72DB5,R000066,L000037,C00009,P00266,2020-09-02,25916,25916.0,Automatic,365,18,Completed,13,True,True,True,1
PID-CF9E5466939F,R000067,L000037,C00009,P00266,2020-12-01,25916,28248.44,Manual,730,23,Pending,4,False,True,False,3
PID-19B5EC60DA67,R000068,L000040,C00010,P00087,2024-12-07,23520,25166.4,Manual,1095,6,Declined,3,True,True,True,2
PID-2709361F55EA,R000069,L000041,C00010,P00090,2024-05-27,18450,21217.5,Manual,365,14,Pending,7,False,True,False,1
PID-57D9B8DAA3A0,R000070,L000046,C00011,P00113,2024-01-04,46620,38228.4,Manual,1095,25,Declined,11,True,True,True,3
PID-A1A65F2AA9D8,R000071,L000046,C00011,P00113,2024-04-03,46620,50349.6,Automatic,730,24,Pending,17,True,True,False,3
PID-E10B73461994,R000072,L000046,C00011,P00113,2024-07-02,46620,55011.6,Manual,730,10,Pending,3,True,True,False,3
PID-73133C393E02,R000073,L000047,C00011,P00141,2022-11-07,68904,70971.12,Negotiated,1095,6,Completed,25,False,False,True,1
PID-B35D705E619F,R000074,L000047,C00011,P00141,2023-02-05,68904,65458.8,Automatic,365,15,Pending,2,True,False,True,1
PID-42FFACE7AAD1,R000075,L000047,C00011,P00141,2023-05-06,68904,77172.48,Negotiated,365,21,Completed,9,True,False,False,0
PID-77A461CF4560,R000076,L000048,C00011,P00140,2023-01-12,67650,70356.0,Automatic,365,0,Declined,15,False,False,True,1
PID-6CFC79C00A5B,R000077,L000048,C00011,P00140,2025-01-11,67650,72385.5,Manual,1095,4,Pending,10,False,False,True,3
PID-BB59DC893F16,R000078,L000048,C00011,P00140,2027-01-11,67650,77797.5,Manual,365,16,Pending,18,False,False,False,2
PID-145CD66329D1,R000079,L000049,C00011,P00139,2023-09-19,41760,33408.0,Automatic,1095,22,Declined,10,False,True,True,1
PID-483A17EB68AB,R000080,L000049,C00011,P00139,2024-09-18,41760,36748.8,Negotiated,730,6,Declined,21,False,True,True,3
PID-DCE806FD90D0,R000081,L000049,C00011,P00139,2025-09-18,41760,43848.0,Negotiated,730,3,Completed,2,False,True,True,1
PID-08DCFA8B1589,R000082,L000050,C00011,P00251,2024-04-25,141252,134189.4,Automatic,1095,18,Declined,3,True,True,True,3
PID-4CEC2B969786,R000083,L000051,C00011,P00252,2021-12-18,279456,321374.4,Negotiated,365,14,Pending,28,False,False,True,2
PID-A1CACD36F7B3,R000084,L000052,C00011,P00232,2025-07-05,143400,166344.0,Manual,365,5,Pending,11,True,False,True,1
PID-27E77A325EDF,R000085,L000052,C00011,P00232,2027-07-05,143400,121890.0,Manual,365,11,Declined,5,False,True,True,2
PID-ACF6F8F5FFF1,R000086,L000052,C00011,P00232,2029-07-04,143400,170646.0,Manual,1095,17,Declined,25,True,True,True,2
PID-539F22CE97E1,R000087,L000053,C00011,P00173,2024-01-12,70334,69630.66,Manual,1095,7,Declined,24,True,True,False,2
PID-F71A805132CC,R000088,L000054,C00011,P00171,2024-11-02,306365,321683.25,Negotiated,1095,3,Pending,23,False,True,True,3
PID-E4A4A476EF1A,R000089,L000054,C00011,P00171,2025-01-31,306365,337001.5,Manual,1095,22,Pending,6,False,True,True,0
PID-2CDE9CA99821,R000090,L000055,C00011,P00274,2023-09-14,106572,94849.08,Automatic,1095,3,Pending,30,False,False,True,2
PID-2096B74A4902,R000091,L000056,C00011,P00272,2021-05-03,5130,4206.6,Negotiated,730,20,Pending,16,True,True,True,1
PID-32A29F91A225,R000092,L000056,C00011,P00272,2021-08-01,5130,5745.6,Negotiated,1095,2,Pending,19,False,True,True,1
PID-CE6EA4B7A824,R000093,L000057,C00011,P00076,2022-01-15,3069,3406.59,Manual,1095,22,Pending,10,True,True,False,3
PID-BF32CAC5B8A8,R000094,L000057,C00011,P00076,2023-01-15,3069,2547.27,Manual,1095,6,Pending,15,False,False,True,0
PID-005DDB032CB8,R000095,L000058,C00012,P00085,2025-09-22,27839,29230.95,Automatic,730,25,Declined,21,False,False,False,0
PID-C81E3EA1AF6B,R000096,L000058,C00012,P00085,2026-09-22,27839,25333.49,Negotiated,730,19,Declined,13,False,True,False,3
PID-30A53478C1ED,R000097,L000058,C00012,P00085,2027-09-22,27839,25611.88,Manual,1095,8,Pending,18,True,True,False,2
PID-EF2EEBAB982F,R000098,L000060,C00013,P00079,2022-08-27,14017,14858.02,Manual,365,19,Declined,1,True,False,False,3
PID-C379204D1D1F,R000099,L000060,C00013,P00079,2022-09-26,14017,12895.64,Automatic,1095,1,Completed,23,False,True,False,1
PID-8A293B303F29,R000100,L000060,C00013,P00079,2022-10-26,14017,14437.51,Negotiated,1095,9,Completed,13,False,True,True,3
PID-5A8214950FA7,R000101,L000061,C00013,P00097,2021-08-19,51200,52736.0,Manual,730,8,Completed,21,False,True,False,0
PID-C8577AF3C645,R000102,L000061,C00013,P00097,2022-08-19,51200,49664.0,Manual,1095,10,Completed,25,True,True,True,2
PID-4AE13422C180,R000103,L000062,C00013,P00096,2022-06-23,46656,40590.72,Manual,365,13,Declined,7,True,True,True,0
PID-5535DFBDBFC9,R000104,L000062,C00013,P00096,2023-06-23,46656,42923.52,Negotiated,1095,14,Completed,0,False,False,False,3
PID-C5E249F37468,R000105,L000063,C00013,P00120,2025-07-29,31108,35774.2,Automatic,730,6,Declined,5,True,True,False,1
PID-2C447C4C4276,R000106,L000064,C00013,P00121,2021-07-08,34808,38288.8,Manual,730,1,Completed,16,True,True,False,0
PID-4CF557444502,R000107,L000065,C00013,P00186,2021-05-03,271188,298306.8,Automatic,730,3,Completed,26,True,True,False,2
PID-567FB0861F3D,R000108,L000065,C00013,P00186,2022-05-03,271188,241357.32,Negotiated,365,7,Completed,27,True,False,False,0
PID-D0A67806AA3D,R000109,L000065,C00013,P00186,2023-05-03,271188,276611.76,Automatic,730,16,Completed,14,False,True,True,3
PID-3C93E47869F2,R000110,L000066,C00013,P00188,2026-07-19,35380,31488.2,Negotiated,1095,7,Pending,23,False,True,True,2
PID-303E8153A6E5,R000111,L000067,C00013,P00065,2022-02-24,177984,167304.96,Manual,730,25,Pending,26,True,False,False,3
PID-85756E8F7EFB,R000112,L000067,C00013,P00065,2023-02-24,177984,176204.16,Manual,730,14,Pending,11,True,True,True,3
PID-DC339269D4E2,R000113,L000067,C00013,P00065,2024-02-24,177984,213580.8,Automatic,1095,16,Pending,7,False,False,True,2
PID-4A623B41D920,R000114,L000068,C00013,P00069,2021-03-27,42560,41708.8,Negotiated,365,24,Pending,28,True,True,False,3
PID-9222A084C6A4,R000115,L000070,C00013,P00031,2022-12-09,104652,87907.68,Negotiated,730,5,Pending,25,True,False,False,1
PID-11C33B30E81E,R000116,L000070,C00013,P00031,2023-01-08,104652,100465.92,Manual,365,21,Declined,30,False,True,True,2
PID-F6B46FA6CEAC,R000117,L000070,C00013,P00031,2023-02-07,104652,99419.4,Negotiated,730,8,Pending,14,False,False,False,2
PID-1DD757804233,R000118,L000071,C00013,P00033,2026-11-30,16020,16340.4,Automatic,1095,10,Pending,7,True,False,True,3
PID-DB1CB6806542,R000119,L000071,C00013,P00033,2028-11-29,16020,17782.2,Negotiated,730,15,Completed,8,True,True,True,3
PID-A81915ED9E4D,R000120,L000071,C00013,P00033,2030-11-29,16020,16500.6,Automatic,730,18,Completed,20,False,False,True,2
PID-571B1807E96D,R000121,L000073,C00014,P00043,2022-12-04,160734,144660.6,Manual,365,7,Declined,0,True,True,True,2
PID-5CE7EDAB1D58,R000122,L000073,C00014,P00043,2023-12-04,160734,128587.2,Negotiated,1095,19,Declined,13,False,False,True,1
PID-2A509C2AE81A,R000123,L000075,C00014,P00019,2027-03-22,280725,275110.5,Negotiated,730,7,Declined,5,False,False,True,2
PID-E93846B8171A,R000124,L000075,C00014,P00019,2030-03-21,280725,305990.25,Automatic,730,13,Completed,17,False,True,False,1
PID-11F5A747FABF,R000125,L000076,C00014,P00017,2024-09-08,38220,37455.6,Manual,1095,25,Declined,6,False,False,False,1
PID-DE6B78CF26E4,R000126,L000077,C00014,P00078,2023-10-13,36848,42743.68,Manual,730,6,Pending,14,True,True,False,3
PID-3F56B2866625,R000127,L000077,C00014,P00078,2024-10-12,36848,41638.24,Negotiated,365,25,Completed,12,True,True,True,2
PID-598410C5DF26,R000128,L000078,C00014,P00006,2023-05-10,7535,7836.4,Automatic,730,11,Completed,2,True,False,True,3
PID-8FEBF5BA2669,R000129,L000078,C00014,P00006,2023-08-08,7535,8815.95,Negotiated,365,19,Declined,14,True,False,False,0
PID-1E617FF6C949,R000130,L000078,C00014,P00006,2023-11-06,7535,7158.25,Manual,365,8,Declined,28,True,False,True,3
PID-5400874588FD,R000131,L000080,C00015,P00196,2023-09-16,156408,179869.2,Manual,730,19,Declined,16,False,True,True,0
PID-84E3F7A36F49,R000132,L000080,C00015,P00196,2026-09-15,156408,159536.16,Negotiated,1095,2,Pending,28,False,False,True,3
PID-4A4B654C5305,R000133,L000081,C00015,P00148,2023-10-07,51336,56982.96,Manual,730,24,Declined,9,True,False,False,3
PID-E654971D8C7F,R000134,L000081,C00015,P00148,2025-10-06,51336,48769.2,Negotiated,365,9,Pending,6,True,True,False,0
PID-A587D4800F2C,R000135,L000082,C00015,P00147,2023-12-25,66504,66504.0,Negotiated,365,17,Declined,9,True,True,True,0
PID-20A9DF30FE3D,R000136,L000083,C00015,P00217,2025-12-11,169608,167911.92,Manual,365,22,Completed,9,True,False,False,0
PID-40D630288535,R000137,L000085,C00015,P00212,2027-03-10,62245,54153.15,Automatic,730,25,Declined,27,True,True,True,2
PID-CF663B48B71F,R000138,L000085,C00015,P00212,2030-03-09,62245,68469.5,Manual,730,23,Declined,29,True,False,False,3
PID-DCAE26866A8E,R000139,L000088,C00015,P00209,2023-10-09,58600,55084.0,Manual,730,6,Completed,17,False,False,True,1
PID-59982B96B506,R000140,L000090,C00015,P00166,2023-02-18,27864,22848.48,Automatic,730,7,Declined,5,True,False,True,3
PID-A0B184EDB7A0,R000141,L000090,C00015,P00166,2024-02-18,27864,33436.8,Automatic,730,11,Pending,3,True,True,False,0
PID-572DBFB8F318,R000142,L000090,C00015,P00166,2025-02-17,27864,23963.04,Manual,365,3,Completed,19,True,False,True,0
PID-BA5C110C405A,R000143,L000091,C00015,P00179,2020-08-19,121338,107990.82,Automatic,365,13,Pending,9,True,True,True,3
PID-35922FC26FB4,R000144,L000092,C00015,P00046,2021-10-04,83970,98244.9,Negotiated,730,6,Completed,18,False,True,True,2
PID-BE111D88AFF5,R000145,L000092,C00015,P00046,2022-01-02,83970,92367.0,Manual,730,13,Declined,27,False,False,True,3
PID-7C67E7B3449A,R000146,L000092,C00015,P00046,2022-04-02,83970,82290.6,Negotiated,730,11,Completed,1,True,False,True,0
PID-A888D3C83811,R000147,L000094,C00015,P00236,2026-09-06,44541,37414.44,Manual,730,23,Completed,26,True,True,False,0
PID-844FFA4D240E,R000148,L000094,C00015,P00236,2028-09-05,44541,53449.2,Manual,365,11,Completed,10,False,False,False,3
PID-98BD6313FA93,R000149,L000094,C00015,P00236,2030-09-05,44541,42759.36,Negotiated,730,21,Completed,24,False,True,True,3
PID-C6A679CBE956,R000150,L000096,C00015,P00075,2023-02-09,51988,44189.8,Manual,365,1,Pending,27,False,True,False,2
PID-D3540751C1BF,R000151,L000096,C00015,P00075,2024-02-09,51988,45749.44,Negotiated,730,21,Pending,3,False,True,False,3
PID-BA441D5BED3D,R000152,L000097,C00015,P00143,2024-09-11,77648,93177.6,Negotiated,1095,19,Pending,20,False,False,True,0
PID-FACDBEEB29FE,R000153,L000097,C00015,P00143,2026-09-11,77648,74542.08,Negotiated,730,15,Declined,18,True,True,True,2
PID-8BF50424E1DF,R000154,L000097,C00015,P00143,2028-09-10,77648,77648.0,Automatic,1095,19,Declined,25,True,True,True,1
PID-53A8CC73329D,R000155,L000098,C00015,P00144,2024-10-18,24716,21008.6,Automatic,1095,8,Completed,12,True,False,False,2
PID-03BB1C837034,R000156,L000098,C00015,P00144,2025-10-18,24716,23480.2,Manual,1095,0,Completed,24,True,True,False,2
PID-713DF1FB2BA0,R000157,L000100,C00015,P00116,2024-08-08,4662,5361.3,Negotiated,730,9,Pending,16,False,True,True,2
PID-BCFAAFE1F897,R000158,L000101,C00016,P00130,2024-10-16,143636,152254.16,Manual,1095,3,Declined,12,True,True,False,3
PID-C045A9C6F60B,R000159,L000101,C00016,P00130,2025-01-14,143636,172363.2,Automatic,730,23,Pending,9,False,True,False,0
PID-F1CD3BFF8460,R000160,L000106,C00016,P00001,2024-08-18,152079,173370.06,Manual,730,8,Declined,7,True,False,False,3
PID-8099972597EF,R000161,L000106,C00016,P00001,2025-08-18,152079,150558.21,Negotiated,1095,20,Declined,14,True,False,True,0
PID-E8AA9335DDAE,R000162,L000107,C00016,P00107,2025-08-05,14812,13923.28,Automatic,730,21,Declined,4,True,True,False,2
PID-70326B1EAB9E,R000163,L000109,C00016,P00079,2024-07-27,16371,15225.03,Automatic,730,22,Declined,20,True,True,True,0
PID-F5100984CF25,R000164,L000109,C00016,P00079,2025-07-27,16371,15225.03,Negotiated,1095,16,Pending,0,True,False,False,2
PID-D72D550AA200,R000165,L000110,C00016,P00078,2024-05-03,73320,77719.2,Manual,1095,10,Completed,15,False,False,True,3
PID-D687C8591180,R000166,L000110,C00016,P00078,2024-08-01,73320,82118.4,Automatic,1095,16,Declined,22,True,False,True,2
PID-CC5C20CD331D,R000167,L000111,C00016,P00153,2023-01-24,124488,103325.04,Negotiated,730,15,Completed,3,False,False,True,1
PID-E5BF855DE637,R000168,L000111,C00016,P00153,2025-01-23,124488,128222.64,Automatic,1095,4,Completed,11,True,True,False,1
PID-7464B7CE1124,R000169,L000111,C00016,P00153,2027-01-23,124488,139426.56,Negotiated,730,11,Pending,13,True,False,False,0
PID-CE8CE1FD5EE8,R000170,L000112,C00016,P00152,2022-11-21,92640,100051.2,Manual,365,2,Declined,25,False,True,True,0
PID-45D4035E3C9F,R000171,L000112,C00016,P00152,2023-11-21,92640,74112.0,Automatic,1095,17,Pending,18,True,False,False,0
PID-18C3D36410DC,R000172,L000112,C00016,P00152,2024-11-20,92640,74112.0,Automatic,1095,4,Completed,16,True,False,True,2
PID-EF37E2DD06BC,R000173,L000113,C00016,P00042,2023-07-01,149220,149220.0,Negotiated,730,16,Pending,12,False,True,True,2
PID-753511ADE6AC,R000174,L000115,C00017,P00094,2021-01-11,19890,17105.4,Negotiated,365,17,Pending,14,False,False,True,1
PID-DB01BAA643DC,R000175,L000115,C00017,P00094,2022-01-11,19890,18497.7,Automatic,1095,7,Completed,17,True,False,False,3
PID-603126641DDF,R000176,L000116,C00017,P00095,2022-10-05,28272,31381.92,Negotiated,365,11,Pending,20,True,True,True,1
PID-2013A389C67C,R000177,L000116,C00017,P00095,2023-10-05,28272,23465.76,Manual,365,25,Declined,20,True,False,True,3
PID-C84A89367FD3,R000178,L000116,C00017,P00095,2024-10-04,28272,24596.64,Manual,1095,11,Pending,8,False,True,False,0
PID-A073CB4D8A3C,R000179,L000118,C00017,P00159,2022-05-05,35568,42325.92,Automatic,1095,25,Declined,7,False,True,True,1
PID-F3C0BC962909,R000180,L000118,C00017,P00159,2023-05-05,35568,33078.24,Manual,1095,9,Declined,19,False,False,False,0
PID-AE4BA8C96749,R000181,L000118,C00017,P00159,2024-05-04,35568,42681.6,Automatic,365,20,Completed,21,True,False,True,0
PID-731E8928DB56,R000182,L000119,C00017,P00160,2025-06-07,36540,33616.8,Automatic,1095,24,Declined,17,True,True,False,1
PID-AADBA130FCDA,R000183,L000120,C00017,P00162,2025-09-15,56210,67452.0,Automatic,1095,20,Pending,24,False,True,False,1
PID-CCC4C5FCCDC3,R000184,L000121,C00017,P00132,2022-03-21,65954,61996.76,Manual,365,4,Declined,15,False,True,True,3
PID-D9392D71228E,R000185,L000121,C00017,P00132,2023-03-21,65954,78485.26,Automatic,1095,7,Declined,25,True,False,False,1
PID-E0A086026CAE,R000186,L000123,C00018,P00240,2022-11-19,11868,11749.32,Automatic,365,0,Completed,1,True,False,True,3
PID-E957F715A8A5,R000187,L000123,C00018,P00240,2024-11-18,11868,13410.84,Manual,1095,5,Pending,24,False,True,False,1
PID-C9D296FA2DE0,R000188,L000123,C00018,P00240,2026-11-18,11868,11274.6,Manual,730,5,Declined,20,True,True,True,1
PID-FA9B9315E3E0,R000189,L000124,C00018,P00243,2020-10-15,123750,117562.5,Automatic,365,16,Declined,17,False,False,False,2
PID-92F5462034EF,R000190,L000125,C00018,P00249,2021-12-05,11718,13710.06,Manual,730,0,Pending,10,False,True,True,3
PID-41BD38A975E0,R000191,L000125,C00018,P00249,2022-03-05,11718,13358.52,Automatic,365,1,Declined,7,True,True,True,3
PID-435A19E21122,R000192,L000125,C00018,P00249,2022-06-03,11718,9374.4,Automatic,730,16,Completed,11,False,False,True,3
PID-F6B509A50D67,R000193,L000126,C00018,P00160,2023-08-26,18774,15206.94,Manual,1095,7,Pending,9,False,False,True,0
PID-88375F75B53E,R000194,L000126,C00018,P00160,2023-09-25,18774,16521.12,Automatic,365,13,Completed,21,True,False,True,1
PID-E681703A3616,R000195,L000127,C00018,P00081,2025-07-31,100983,83815.89,Automatic,365,5,Pending,24,False,True,True,3
PID-505279C7F571,R000196,L000127,C00018,P00081,2026-07-31,100983,88865.04,Manual,1095,4,Declined,22,True,True,False,2
PID-8743BA94AA34,R000197,L000127,C00018,P00081,2027-07-31,100983,119159.94,Manual,365,12,Declined,10,False,False,True,3
PID-E0645ED10A31,R000198,L000128,C00018,P00080,2024-09-27,101436,99407.28,Negotiated,1095,10,Completed,17,False,True,False,1
PID-1300FDE97D2A,R000199,L000128,C00018,P00080,2025-09-27,101436,100421.64,Manual,365,19,Pending,9,True,True,False,1
PID-F7FDE5E0A33B,R000200,L000128,C00018,P00080,2026-09-27,101436,105493.44,Manual,730,10,Completed,3,False,True,True,0
PID-4911528E9D9C,R000201,L000129,C00018,P00091,2023-08-08,58136,59298.72,Automatic,1095,5,Completed,14,True,False,False,1
PID-017441D8E949,R000202,L000129,C00018,P00091,2023-11-06,58136,49996.96,Manual,1095,20,Pending,17,True,True,True,3
PID-C3EA415D2397,R000203,L000129,C00018,P00091,2024-02-04,58136,48834.24,Negotiated,1095,6,Pending,27,True,True,False,3
PID-E55DA7AA6469,R000204,L000130,C00018,P00092,2023-06-13,21390,22887.3,Automatic,730,1,Pending,19,False,True,True,2
PID-1E2852F8BFDC,R000205,L000132,C00018,P00096,2023-03-27,42282,45664.56,Automatic,1095,1,Pending,24,True,False,False,3
