License_ID,Customer_ID,Vendor_ID,Product_ID,Number_of_quantities_purchased,Number_of_quantities_activated,Percentage_of_quantities_deployed,Days_since_last_quantity_purchased,Days_since_last_quantity_activated,Avg_gap_in_quantity_purchase,Avg_gap_in_quantity_activated,Direction_Trend_purchased_quantities,Direction_Trend_activated_quantities,Direction_Trend_deployed_quantities,Deployment_Type,Days_since_first_quantity_purchased,Days_since_first_activation,Avg_gap_Purchase_to_Activation,Frequency_of_Product_Purchase,Recency_of_product_purchase,Variants,Subscription_period_derived,Contract_Value,License_Start_Date,License_End_Date,Renewal_Status,Payment_Status,Support_Tickets,Satisfaction_Score,Churn_Risk,Usage_Frequency,Last_Login,Feature_Utilization,Integration_Count,Custom_Configuration,Training_Sessions,Upgrade_History,Downgrade_History,Relative_number_of_products_purchased_from_catalogue,Relative_purchases_qty,Relative_activation_qty,Relative_activation_percentage,Relative_Activated_Variant_percentage,Relative_variant_activation_quantity
L000011,C00003,V0015,P00080,178.0,141.0,61.79775280898876,1058.0,1051.0,202.0,207.0,Upward,Downward,Downward,Production,1260.0,1258.0,4.5,2.0,1058.0,"V3,V1,V3",365.0,84372.0,2021-07-20,2023-02-07,Cancelled,Overdue,8.0,2.0,Low,Daily,2024-04-28,32.0,1.0,False,0.0,2.0,0.0,2.5547445255474455,17.658730158730158,16.926770708283314,79.21348314606742,60.0,16.926770708283314
L000012,C00003,V0015,P00081,77.0,64.0,66.23376623376623,978.0,960.0,274.0,263.0,Upward,Upward,Upward,Production,1252.0,1223.0,23.5,2.0,978.0,V1,730.0,63217.0,2021-07-28,2023-04-28,Cancelled,Pending,0.0,1.0,Medium,Monthly,2023-09-20,94.0,4.0,False,2.0,0.0,1.0,2.5547445255474455,7.638888888888889,7.6830732292917165,83.11688311688312,20.0,7.6830732292917165
L000013,C00004,V0010,P00050,126.0,102.0,61.111111111111114,1612.0,1608.0,53.0,31.0,Downward,Downward,Downward,Production,1665.0,1639.0,15.0,2.0,1612.0,"V2,V3",30.0,22302.0,2020-06-10,2020-10-31,Cancelled,Paid,7.0,6.0,High,Daily,2022-11-07,38.0,4.0,False,2.0,2.0,0.0,1.4598540145985401,23.863636363636363,25.563909774436087,80.95238095238095,40.0,25.563909774436087
L000014,C00004,V0049,P00268,115.0,92.0,64.34782608695652,742.0,731.0,214.0,213.0,Upward,Upward,Upward,Test,1384.0,1370.0,12.75,4.0,742.0,"V4,V3,V3,V2,V2",365.0,75210.0,2021-03-18,2024-12-19,Cancelled,Pending,4.0,9.0,Low,Weekly,2024-01-29,55.0,1.0,True,0.0,0.0,1.0,1.4598540145985401,21.78030303030303,23.05764411027569,80.0,100.0,23.05764411027569
L000015,C00004,V0005,P00026,183.0,132.0,57.377049180327866,888.0,881.0,156.66666666666666,155.0,Downward,Downward,Downward,Test,,1346.0,18.0,4.0,888.0,"V1,V2",365.0,78873.0,2021-04-13,2023-07-27,Cancelled,Paid,,7.0,Low,Weekly,2024-03-07,62.0,2.0,True,1.0,3.0,0.0,1.4598540145985401,34.659090909090914,33.08270676691729,72.1311475409836,40.0,33.08270676691729
L000016,C00004,V0005,P00025,104.0,73.0,56.730769230769226,232.0,215.0,286.0,286.0,Downward,Downward,Downward,Production,804.0,787.0,18.0,3.0,232.0,V1,90.0,37232.0,2022-10-19,2026-05-13,Expired,Paid,6.0,4.0,High,Weekly,2024-12-13,73.0,0.0,False,1.0,0.0,0.0,1.4598540145985401,19.696969696969695,18.295739348370926,70.1923076923077,20.0,18.295739348370926
L000017,C00005,V0015,P00081,109.0,96.0,63.30275229357798,1038.0,1031.0,334.0,330.0,Upward,Upward,Upward,Production,1372.0,1361.0,9.0,2.0,1038.0,V3,365.0,89489.0,2021-03-30,2025-02-26,Cancelled,Paid,2.0,7.0,Low,Monthly,2024-06-14,95.0,4.0,True,0.0,3.0,0.0,2.18978102189781,12.247191011235955,13.043478260869565,88.07339449541286,20.0,13.043478260869565
L000018,C00005,V0015,P00080,151.0,123.0,52.980132450331126,-579.0,-585.0,225.66666666666666,221.0,Downward,Downward,Downward,Production,98.0,78.0,10.75,4.0,-579.0,V2,365.0,71574.0,2024-09-24,2027-08-02,Cancelled,Overdue,8.0,5.0,High,Monthly,2024-12-31 00:00:00,54.0,2.0,True,2.0,0.0,0.0,2.18978102189781,16.96629213483146,16.71195652173913,81.45695364238411,20.0,16.71195652173913
L000019,C00005,V0008,P00043,203.0,157.0,56.15763546798029,170.0,165.0,129.66666666666666,126.66666666666667,Downward,Downward,Downward,Production,559.0,545.0,10.75,4.0,170.0,V1,365.0,183309.0,2023-06-21,2025-07-14,Active,Pending,3.0,3.0,High,Weekly,2024-07-23,23.0,3.0,True,0.0,1.0,0.0,2.18978102189781,22.808988764044944,21.331521739130434,77.33990147783251,20.0,21.331521739130434
L000020,C00005,V0001,P00002,280.0,237.0,68.92857142857143,1026.0,1015.0,167.5,163.75,Upward,Upward,Upward,Test,1696.0,1670.0,19.2,5.0,1026.0,V1,730.0,184520.0,2020-05-10,2023-03-11,Expired,,0.0,5.0,High,Daily,2024-11-20,33.0,4.0,,2.0,2.0,0.0,2.18978102189781,31.46067415730337,32.20108695652174,84.64285714285714,20.0,32.20108695652174
L000021,C00005,V0001,P00001,146.0,123.0,65.75342465753424,-168.0,-194.0,133.33333333333334,137.66666666666666,Upward,Upward,Upward,Development,232.0,219.0,12.5,4.0,-168.0,"V3,V2,V2",30.0,136218.0,2024-05-13,2026-06-17,Cancelled,Paid,7.0,8.0,Medium,Daily,2024-12-31 00:00:00,77.0,3.0,False,2.0,2.0,0.0,2.18978102189781,16.40449438202247,16.71195652173913,84.24657534246576,60.0,16.71195652173913
L000022,C00005,V0047,P00261,1.0,0.0,0.0,1639.0,1636.0,0.0,,Flat,Flat,Flat,Production,1639.0,1636.0,3.0,1.0,1639.0,V1,365.0,478.0,2020-07-06,2021-07-06,Active,Pending,7.0,6.0,High,Daily,,41.0,1.0,False,3.0,0.0,1.0,2.18978102189781,0.11235955056179776,0.0,0.0,20.0,
L000023,C00006,V0026,P00129,173.0,153.0,67.05202312138728,508.0,494.0,126.66666666666667,122.33333333333333,Upward,Upward,Upward,Production,888.0,861.0,13.5,4.0,508.0,V1,730.0,133383.0,2022-07-27,2023-11-09,Cancelled,Overdue,8.0,2.0,High,Daily,2024-01-19,71.0,2.0,True,3.0,1.0,1.0,1.824817518248175,22.673656618610746,23.943661971830984,88.4393063583815,20.0,23.943661971830984
L000024,C00006,V0026,P00130,259.0,208.0,60.231660231660236,-608.0,-613.0,326.0,,Downward,Downward,Upward,Production,696.0,673.0,14.4,5.0,-608.0,"V2,V1",730.0,249676.0,2023-02-04,2026-11-29,Expired,Pending,0.0,8.0,Low,Weekly,2024-12-31 00:00:00,88.0,1.0,False,3.0,3.0,1.0,1.824817518248175,33.94495412844037,32.550860719874805,80.3088803088803,40.0,32.550860719874805
L000025,C00006,V0011,P00058,28.0,28.0,92.85714285714286,714.0,687.0,0.0,0.0,Flat,Flat,Flat,Production,714.0,687.0,27.0,1.0,714.0,"V3,V1",730.0,,2023-01-17,2023-04-17,Active,Pending,2.0,6.0,Medium,Monthly,2024-09-13,50.0,1.0,False,3.0,0.0,1.0,1.824817518248175,3.669724770642202,4.381846635367762,100.0,40.0,4.381846635367762
L000026,C00006,V0011,P00059,27.0,21.0,55.55555555555556,839.0,836.0,0.0,0.0,Flat,Flat,Flat,Development,839.0,836.0,3.0,1.0,839.0,"V2,V1",30.0,24867.0,2022-09-14,2023-09-14,Active,Pending,10.0,1.0,Low,Monthly,2023-06-17,52.0,2.0,False,3.0,3.0,1.0,1.824817518248175,3.5386631716906947,3.286384976525822,77.77777777777779,40.0,3.286384976525822
L000027,C00006,V0011,P00057,276.0,229.0,55.434782608695656,-624.0,-647.0,222.5,226.25,Upward,Upward,Upward,Production,,258.0,17.2,5.0,-624.0,V1,730.0,33672.0,2024-04-09,2027-09-16,Cancelled,Paid,4.0,4.0,Medium,Weekly,2024-12-31 00:00:00,100.0,0.0,False,3.0,2.0,0.0,1.824817518248175,36.17300131061599,35.83724569640063,82.97101449275362,20.0,35.83724569640063
L000028,C00007,V0042,P00232,131.0,112.0,,625.0,619.0,262.6666666666667,257.0,Upward,Upward,Upward,Development,1413.0,1390.0,17.75,4.0,625.0,V1,730.0,93927.0,2021-02-17,2023-07-15,Cancelled,Paid,5.0,10.0,High,Daily,2024-08-11,46.0,5.0,False,0.0,2.0,1.0,2.18978102189781,12.84313725490196,12.684031710079275,85.49618320610686,,12.684031710079275
L000029,C00007,V0042,P00230,149.0,121.0,51.67785234899329,,570.0,362.0,353.5,Downward,Downward,Downward,Development,1303.0,1277.0,19.0,,579.0,V1,30.0,77033.0,2021-06-07,2023-07-01,Cancelled,Paid,8.0,7.0,Low,Daily,2024-08-18,77.0,5.0,False,2.0,3.0,1.0,2.18978102189781,14.607843137254903,13.703284258210646,81.20805369127517,20.0,13.703284258210646
L000030,C00007,V0042,P00231,76.0,72.0,68.42105263157895,-233.0,-247.0,390.0,389.0,Downward,Downward,Downward,Test,157.0,,14.5,2.0,-233.0,V1,90.0,48184.0,2024-07-27,2027-08-21,Expired,Overdue,1.0,3.0,Medium,Monthly,2024-12-31 00:00:00,63.0,,True,1.0,3.0,0.0,2.18978102189781,7.450980392156863,8.154020385050963,94.73684210526315,20.0,8.154020385050963
L000031,,V0049,P00269,309.0,266.0,57.92880258899677,-41.0,,245.25,240.5,Upward,Upward,Upward,Development,940.0,910.0,19.8,5.0,-41.0,V1,90.0,93318.0,2022-06-05,2027-02-10,Active,Pending,1.0,4.0,Low,Daily,2024-12-31 00:00:00,93.0,5.0,False,3.0,3.0,1.0,2.18978102189781,30.294117647058822,30.124575311438278,86.08414239482201,20.0,30.124575311438278
L000032,C00007,V0008,P00039,323.0,287.0,69.3498452012384,-775.0,-792.0,243.25,241.25,Downward,Downward,Downward,Production,198.0,173.0,14.0,5.0,-775.0,"V1,V3,V2",365.0,9690.0,2024-06-16,2028-02-14,Active,Pending,9.0,1.0,Medium,Monthly,2024-12-31 00:00:00,39.0,4.0,True,3.0,0.0,1.0,2.18978102189781,31.666666666666664,32.50283125707814,88.85448916408669,60.0,32.50283125707814
L000033,C00007,V0008,P00040,32.0,25.0,53.125,125.0,120.0,0.0,0.0,Flat,Flat,Flat,Production,125.0,120.0,5.0,1.0,125.0,V3,365.0,26496.0,2024-08-28,2025-08-28,Cancelled,Paid,1.0,2.0,Low,Weekly,2024-12-05,58.0,1.0,True,3.0,2.0,,2.18978102189781,3.1372549019607843,2.8312570781426953,78.125,20.0,2.8312570781426953
L000034,C00008,V0029,P00144,276.0,233.0,64.85507246376811,257.0,232.0,285.5,285.5,Upward,Upward,Upward,Development,1399.0,1374.0,16.8,5.0,257.0,"V3,V2,V2",365.0,,2021-03-03,2025-04-18,Active,Overdue,5.0,5.0,Medium,Weekly,2024-10-07,24.0,2.0,True,0.0,2.0,0.0,0.36496350364963503,100.0,100.0,84.42028985507247,60.0,100.0
L000035,C00009,V0035,P00182,118.0,101.0,62.71186440677966,633.0,633.0,185.66666666666666,180.0,Downward,Downward,Downward,Production,1190.0,1173.0,10.25,4.0,633.0,"V1,V5",90.0,3068.0,2021-09-28,2025-04-07,Active,Paid,7.0,5.0,Medium,Monthly,2024-08-28,41.0,2.0,False,0.0,3.0,1.0,1.824817518248175,24.532224532224532,25.5050505050505,85.59322033898306,40.0,25.5050505050505
L000036,C00009,V0035,P00190,7.0,7.0,85.71428571428571,180.0,177.0,0.0,0.0,Flat,Flat,Flat,Production,180.0,177.0,3.0,1.0,180.0,"V1,V2,V3",30.0,1015.0,2024-07-04,2025-07-04,Active,Overdue,5.0,8.0,Low,Weekly,2024-09-01,82.0,3.0,True,0.0,3.0,1.0,1.824817518248175,1.4553014553014554,1.7676767676767675,100.0,60.0,1.7676767676767675
L000037,C00009,V0048,P00266,76.0,76.0,89.47368421052632,1761.0,1745.0,0.0,0.0,Flat,Flat,Flat,Production,1761.0,1745.0,16.0,1.0,1761.0,"V5,V3,V1,V5,V3",90.0,25916.0,2020-03-06,2020-06-04,Cancelled,Pending,4.0,7.0,Low,Daily,2022-03-12,40.0,5.0,True,3.0,1.0,0.0,1.824817518248175,,,100.0,100.0,19.19191919191919
L000038,C00009,V0048,P00265,56.0,35.0,48.214285714285715,793.0,764.0,0.0,0.0,Flat,Flat,Flat,Development,793.0,764.0,29.0,1.0,793.0,"V4,V3",365.0,43400.0,2022-10-30,2023-01-28,Cancelled,Pending,4.0,8.0,Medium,Monthly,2023-11-14,79.0,1.0,True,2.0,1.0,1.0,1.824817518248175,11.642411642411643,8.83838383838384,62.5,40.0,8.83838383838384
L000039,C00009,V0048,P00267,224.0,177.0,66.96428571428571,-579.0,-604.0,233.0,241.0,Upward,Upward,Upward,Development,120.0,119.0,12.0,4.0,-579.0,"V3,V2,V3",365.0,132832.0,2024-09-02,2027-08-02,Active,Pending,3.0,9.0,High,Daily,2024-12-31 00:00:00,91.0,3.0,False,2.0,1.0,0.0,1.824817518248175,46.56964656964657,44.696969696969695,79.01785714285714,60.0,44.696969696969695
,C00010,V0017,P00087,294.0,265.0,74.82993197278913,-313.0,-315.0,234.0,229.0,Downward,Downward,Downward,Production,389.0,372.0,18.0,4.0,-313.0,V1,365.0,23520.0,2023-12-08,2026-02-07,Active,Paid,7.0,6.0,Medium,Weekly,2024-12-31 00:00:00,40.0,0.0,False,3.0,1.0,0.0,1.094890510948905,68.69158878504673,70.1058201058201,90.1360544217687,20.0,70.1058201058201
L000041,C00010,V0017,P00090,25.0,19.0,56.00000000000001,213.0,205.0,370.0,374.0,Upward,Downward,Downward,Test,583.0,579.0,6.0,2.0,213.0,"V4,V2",365.0,18450.0,2023-05-28,2024-07-01,Expired,Pending,6.0,8.0,High,Weekly,2024-06-29,41.0,0.0,False,2.0,2.0,,1.094890510948905,5.841121495327103,5.026455026455026,76.0,40.0,5.026455026455026
L000042,C00010,V0017,P00089,,94.0,60.550458715596335,377.0,369.0,133.5,125.0,Downward,Downward,Downward,Development,644.0,619.0,18.666666666666668,3.0,377.0,"V5,V3,V4,V1,V3",365.0,80333.0,2023-03-28,2024-12-19,Expired,Paid,5.0,8.0,High,Monthly,2024-07-26,51.0,1.0,True,,3.0,0.0,1.094890510948905,25.46728971962617,24.867724867724867,86.23853211009175,100.0,24.867724867724867
,C00011,V0038,P00207,57.0,47.0,64.91228070175438,686.0,665.0,0.0,0.0,,Flat,Flat,Test,686.0,665.0,21.0,1.0,686.0,"V2,V2",30.0,20007.0,2023-02-14,2025-02-13,Active,Paid,5.0,8.0,High,Monthly,2024-03-16,,2.0,False,3.0,3.0,1.0,5.474452554744526,2.287319422150883,2.3084479371316307,82.45614035087719,40.0,2.3084479371316307
L000044,C00011,V0038,P00208,110.0,88.0,71.81818181818181,957.0,940.0,400.0,405.0,Upward,Upward,Upward,Production,1357.0,1345.0,14.5,2.0,957.0,"V2,V2,V1,V4",730.0,,2021-04-14,2023-05-19,Expired,Paid,0.0,8.0,Low,Daily,2024-08-30,80.0,4.0,True,,3.0,0.0,5.474452554744526,4.414125200642054,4.322200392927308,80.0,80.0,4.322200392927308
L000045,,V0038,P00209,47.0,44.0,55.319148936170215,155.0,131.0,0.0,0.0,Flat,Flat,Flat,Development,155.0,131.0,24.0,1.0,155.0,V1,90.0,13771.0,2024-07-29,2025-07-29,Active,,2.0,4.0,Medium,Weekly,2024-08-22,49.0,3.0,True,3.0,,0.0,5.474452554744526,1.886035313001605,2.161100196463654,93.61702127659575,20.0,2.161100196463654
L000046,C00011,V0022,P00113,84.0,74.0,69.04761904761905,452.0,446.0,0.0,0.0,Flat,Flat,Flat,Production,452.0,446.0,6.0,1.0,452.0,"V2,V3,V1",90.0,46620.0,2023-10-06,2024-10-05,Active,Paid,6.0,3.0,Medium,Daily,2024-01-05,46.0,0.0,True,1.0,1.0,1.0,5.474452554744526,3.3707865168539324,3.6345776031434185,88.09523809523809,60.0,3.6345776031434185
L000047,C00011,V0028,P00141,297.0,261.0,64.98316498316498,-13.0,-23.0,222.0,224.5,Downward,Downward,Downward,Production,875.0,875.0,10.2,5.0,-13.0,"V3,V1",90.0,68904.0,2022-08-09,2026-01-13,Cancelled,Overdue,1.0,3.0,Low,Monthly,2024-12-31 00:00:00,20.0,5.0,True,2.0,2.0,1.0,5.474452554744526,11.918138041733547,12.819253438113948,87.87878787878788,40.0,12.819253438113948
L000048,C00011,V0028,P00140,165.0,149.0,64.84848484848484,645.0,645.0,268.0,264.3333333333333,Downward,Downward,Upward,Production,1449.0,1438.0,5.5,4.0,645.0,V2,730.0,67650.0,2021-01-12,2024-03-26,Expired,Overdue,2.0,7.0,Medium,Daily,2024-08-31,58.0,1.0,False,3.0,1.0,0.0,5.474452554744526,6.621187800963082,7.318271119842828,90.30303030303031,20.0,7.318271119842828
L000049,C00011,V0028,,96.0,72.0,50.0,204.0,187.0,315.0,323.0,Downward,Downward,Downward,Production,834.0,833.0,12.0,3.0,204.0,"V2,V2",365.0,41760.0,2022-09-19,2024-09-08,Expired,Paid,1.0,8.0,Medium,Monthly,2024-12-15,100.0,0.0,True,3.0,2.0,0.0,5.474452554744526,3.8523274478330656,3.536345776031434,75.0,40.0,3.536345776031434
L000050,C00011,V0045,P00251,298.0,243.0,66.77852348993288,-173.0,-191.0,,113.25,Downward,Downward,Downward,Production,280.0,262.0,21.0,5.0,-173.0,"V3,V3,V2",30.0,141252.0,2024-03-26,2025-07-22,Active,Pending,2.0,9.0,Medium,Daily,2024-12-31 00:00:00,32.0,2.0,False,0.0,2.0,1.0,5.474452554744526,11.958266452648475,11.93516699410609,81.54362416107382,60.0,11.93516699410609
L000051,C00011,V0045,P00252,328.0,254.0,61.58536585365854,724.0,695.0,187.5,192.5,Downward,Downward,Downward,Production,1474.0,1465.0,18.6,5.0,724.0,"V1,V1,V2,V1",365.0,279456.0,2020-12-18,2024-01-07,Active,Paid,1.0,4.0,High,Daily,2023-05-12,71.0,1.0,False,2.0,3.0,0.0,5.474452554744526,13.162118780096307,,,80.0,12.475442043222005
L000052,C00011,V0042,P00232,200.0,149.0,55.00000000000001,-824.0,-834.0,342.0,,Downward,Downward,Downward,Production,544.0,538.0,6.0,5.0,-824.0,"V4,V3",730.0,143400.0,2023-07-06,2027-05-04,Expired,Paid,8.0,3.0,Medium,Daily,2024-12-31 00:00:00,93.0,5.0,True,3.0,2.0,1.0,5.474452554744526,8.025682182985554,7.318271119842828,74.5,40.0,7.318271119842828
L000053,C00011,V0034,P00173,139.0,114.0,61.15107913669065,570.0,557.0,149.0,138.0,Upward,Upward,Upward,Development,719.0,695.0,18.5,2.0,570.0,V1,365.0,70334.0,2023-01-12,2024-06-09,Expired,Paid,1.0,8.0,Medium,Monthly,2024-03-31,85.0,0.0,False,2.0,1.0,0.0,5.474452554744526,5.57784911717496,5.599214145383105,82.01438848920863,20.0,5.599214145383105
L000054,C00011,V0034,P00171,355.0,267.0,57.74647887323944,-606.0,-616.0,188.75,186.5,Upward,Upward,Upward,Development,149.0,130.0,19.2,5.0,-606.0,"V1,V2,V2",90.0,306365.0,2024-08-04,2027-08-29,Active,Overdue,6.0,2.0,High,Monthly,2024-12-31 00:00:00,40.0,1.0,True,2.0,1.0,1.0,5.474452554744526,14.245585874799357,13.113948919449903,75.21126760563381,60.0,13.113948919449903
L000055,C00011,,P00274,166.0,154.0,75.30120481927712,216.0,205.0,174.0,165.5,Downward,Downward,,Production,564.0,536.0,15.0,3.0,216.0,"V3,V3,V2",,106572.0,2023-06-16,2026-05-29,Cancelled,Paid,2.0,3.0,High,Monthly,2024-08-01,90.0,2.0,True,1.0,1.0,0.0,5.474452554744526,6.66131621187801,7.56385068762279,92.7710843373494,60.0,7.56385068762279
L000056,C00011,V0050,P00272,57.0,41.0,54.385964912280706,950.0,923.0,239.0,251.0,Upward,Upward,Upward,Development,1428.0,1425.0,13.666666666666666,3.0,,"V1,V1",90.0,5130.0,2021-02-02,2024-05-25,Cancelled,Paid,7.0,1.0,Medium,Weekly,,68.0,2.0,False,3.0,1.0,1.0,5.474452554744526,2.287319422150883,2.013752455795678,71.9298245614035,40.0,2.013752455795678
L000057,C00011,V0013,P00076,93.0,79.0,68.81720430107528,1148.0,1130.0,298.0,289.0,Downward,Downward,Downward,,,1419.0,22.5,2.0,1148.0,,365.0,3069.0,2021-01-15,2022-11-09,Cancelled,Overdue,2.0,2.0,Medium,Weekly,2024-12-26,40.0,3.0,True,3.0,0.0,1.0,5.474452554744526,3.7319422150882824,3.880157170923379,84.94623655913979,40.0,3.880157170923379
L000058,C00012,V0016,P00085,97.0,69.0,51.546391752577314,100.0,83.0,0.0,0.0,Flat,Flat,Flat,Production,100.0,,17.0,1.0,100.0,"V4,V2",365.0,27839.0,2024-09-22,2026-09-22,Cancelled,Pending,7.0,2.0,Medium,Monthly,2024-12-26,39.0,4.0,False,,3.0,0.0,0.36496350364963503,100.0,100.0,71.1340206185567,40.0,100.0
L000059,C00013,V0014,,264.0,222.0,61.74242424242424,1035.0,1018.0,190.75,187.75,Upward,Upward,Downward,Production,1798.0,1769.0,15.4,5.0,1035.0,,730.0,99264.0,2020-01-29,2022-05-31,Cancelled,Overdue,6.0,8.0,Low,Daily,2024-06-04,38.0,5.0,True,0.0,2.0,1.0,4.744525547445255,,14.979757085020243,84.0909090909091,20.0,14.979757085020243
L000060,C00013,V0014,P00079,131.0,119.0,67.17557251908397,720.0,693.0,167.0,164.0,Upward,Upward,Upward,Production,887.0,857.0,28.5,2.0,720.0,"V3,V1,V1",30.0,14017.0,2022-07-28,2026-01-10,Active,Pending,7.0,3.0,Low,Monthly,2023-04-16,75.0,0.0,False,3.0,0.0,,4.744525547445255,7.5766338924233665,8.029689608636977,90.83969465648855,60.0,8.029689608636977
L000061,C00013,V0019,P00097,100.0,71.0,46.0,1595.0,,0.0,0.0,Flat,Flat,Flat,Production,1595.0,1584.0,11.0,1.0,1595.0,V1,365.0,51200.0,2020-08-19,2021-08-19,Active,Pending,2.0,4.0,Low,Weekly,2020-12-04,51.0,5.0,False,,2.0,0.0,4.744525547445255,5.78368999421631,4.790823211875844,71.0,,4.790823211875844
L000062,C00013,V0019,P00096,64.0,44.0,54.6875,917.0,887.0,370.0,384.0,Upward,Upward,Upward,Production,1287.0,1271.0,23.0,,917.0,V2,365.0,46656.0,2021-06-23,2022-07-28,Expired,Overdue,4.0,2.0,Low,Weekly,2023-12-11,27.0,5.0,True,1.0,2.0,,4.744525547445255,3.701561596298438,2.968960863697706,68.75,20.0,2.968960863697706
