Renewal_ID,License_ID,Customer_ID,Product_ID,Renewal_Date,Previous_Contract_Value,New_Contract_Value,Renewal_Type,Renewal_Duration,Discount_Applied,Renewal_Status,Negotiation_Days,Decision_Maker_Change,Competitive_Threat,Upsell_Opportunity,Cross_sell_Products
R000121,L000073,C00014,P00043,2022-12-04,160734,144660.6,Manual,365,7,Declined,0,True,True,True,2
R000122,L000073,C00014,P00043,2023-12-04,160734,128587.2,Negotiated,1095,19,Declined,13,False,False,True,1
R000123,L000075,C00014,P00019,2027-03-22,280725,275110.5,Negotiated,730,7,Declined,5,False,False,True,2
R000124,L000075,C00014,P00019,2030-03-21,280725,305990.25,Automatic,730,13,Completed,17,False,True,False,1
R000125,L000076,C00014,P00017,2024-09-08,38220,37455.6,Manual,1095,25,Declined,6,False,False,False,1
R000126,L000077,C00014,P00078,2023-10-13,36848,42743.68,Manual,730,6,Pending,14,True,True,False,3
R000127,L000077,C00014,P00078,2024-10-12,36848,41638.24,Negotiated,365,25,Completed,12,True,True,True,2
R000128,L000078,C00014,P00006,2023-05-10,7535,7836.4,Automatic,730,11,Completed,2,True,False,True,3
R000129,L000078,C00014,P00006,2023-08-08,7535,8815.95,Negotiated,365,19,Declined,14,True,False,False,0
R000130,L000078,C00014,P00006,2023-11-06,7535,7158.25,Manual,365,8,Declined,28,True,False,True,3
R000131,L000080,C00015,P00196,2023-09-16,156408,179869.2,Manual,730,19,Declined,16,False,True,True,0
R000132,L000080,C00015,P00196,2026-09-15,156408,159536.16,Negotiated,1095,2,Pending,28,False,False,True,3
R000133,L000081,C00015,P00148,2023-10-07,51336,56982.96,Manual,730,24,Declined,9,True,False,False,3
R000134,L000081,C00015,P00148,2025-10-06,51336,48769.2,Negotiated,365,9,Pending,6,True,True,False,0
R000135,L000082,C00015,P00147,2023-12-25,66504,66504.0,Negotiated,365,17,Declined,9,True,True,True,0
R000136,L000083,C00015,P00217,2025-12-11,169608,167911.92,Manual,365,22,Completed,9,True,False,False,0
R000137,L000085,C00015,P00212,2027-03-10,62245,54153.15,Automatic,730,25,Declined,27,True,True,True,2
R000138,L000085,C00015,P00212,2030-03-09,62245,68469.5,Manual,730,23,Declined,29,True,False,False,3
R000139,L000088,C00015,P00209,2023-10-09,58600,55084.0,Manual,730,6,Completed,17,False,False,True,1
R000140,L000090,C00015,P00166,2023-02-18,27864,22848.48,Automatic,730,7,Declined,5,True,False,True,3
R000141,L000090,C00015,P00166,2024-02-18,27864,33436.8,Automatic,730,11,Pending,3,True,True,False,0
R000142,L000090,C00015,P00166,2025-02-17,27864,23963.04,Manual,365,3,Completed,19,True,False,True,0
R000143,L000091,C00015,P00179,2020-08-19,121338,107990.82,Automatic,365,13,Pending,9,True,True,True,3
R000144,L000092,C00015,P00046,2021-10-04,83970,98244.9,Negotiated,730,6,Completed,18,False,True,True,2
R000145,L000092,C00015,P00046,2022-01-02,83970,92367.0,Manual,730,13,Declined,27,False,False,True,3
R000146,L000092,C00015,P00046,2022-04-02,83970,82290.6,Negotiated,730,11,Completed,1,True,False,True,0
R000147,L000094,C00015,P00236,2026-09-06,44541,37414.44,Manual,730,23,Completed,26,True,True,False,0
R000148,L000094,C00015,P00236,2028-09-05,44541,53449.2,Manual,365,11,Completed,10,False,False,False,3
R000149,L000094,C00015,P00236,2030-09-05,44541,42759.36,Negotiated,730,21,Completed,24,False,True,True,3
R000150,L000096,C00015,P00075,2023-02-09,51988,44189.8,Manual,365,1,Pending,27,False,True,False,2
R000151,L000096,C00015,P00075,2024-02-09,51988,45749.44,Negotiated,730,21,Pending,3,False,True,False,3
R000152,L000097,C00015,P00143,2024-09-11,77648,93177.6,Negotiated,1095,19,Pending,20,False,False,True,0
R000153,L000097,C00015,P00143,2026-09-11,77648,74542.08,Negotiated,730,15,Declined,18,True,True,True,2
R000154,L000097,C00015,P00143,2028-09-10,77648,77648.0,Automatic,1095,19,Declined,25,True,True,True,1
R000155,L000098,C00015,P00144,2024-10-18,24716,21008.6,Automatic,1095,8,Completed,12,True,False,False,2
R000156,L000098,C00015,P00144,2025-10-18,24716,23480.2,Manual,1095,0,Completed,24,True,True,False,2
R000157,L000100,C00015,P00116,2024-08-08,4662,5361.3,Negotiated,730,9,Pending,16,False,True,True,2
R000158,L000101,C00016,P00130,2024-10-16,143636,152254.16,Manual,1095,3,Declined,12,True,True,False,3
R000159,L000101,C00016,P00130,2025-01-14,143636,172363.2,Automatic,730,23,Pending,9,False,True,False,0
R000160,L000106,C00016,P00001,2024-08-18,152079,173370.06,Manual,730,8,Declined,7,True,False,False,3
R000161,L000106,C00016,P00001,2025-08-18,152079,150558.21,Negotiated,1095,20,Declined,14,True,False,True,0
R000162,L000107,C00016,P00107,2025-08-05,14812,13923.28,Automatic,730,21,Declined,4,True,True,False,2
R000163,L000109,C00016,P00079,2024-07-27,16371,15225.03,Automatic,730,22,Declined,20,True,True,True,0
R000164,L000109,C00016,P00079,2025-07-27,16371,15225.03,Negotiated,1095,16,Pending,0,True,False,False,2
R000165,L000110,C00016,P00078,2024-05-03,73320,77719.2,Manual,1095,10,Completed,15,False,False,True,3
R000166,L000110,C00016,P00078,2024-08-01,73320,82118.4,Automatic,1095,16,Declined,22,True,False,True,2
R000167,L000111,C00016,P00153,2023-01-24,124488,103325.04,Negotiated,730,15,Completed,3,False,False,True,1
R000168,L000111,C00016,P00153,2025-01-23,124488,128222.64,Automatic,1095,4,Completed,11,True,True,False,1
R000169,L000111,C00016,P00153,2027-01-23,124488,139426.56,Negotiated,730,11,Pending,13,True,False,False,0
R000170,L000112,C00016,P00152,2022-11-21,92640,100051.2,Manual,365,2,Declined,25,False,True,True,0
R000171,L000112,C00016,P00152,2023-11-21,92640,74112.0,Automatic,1095,17,Pending,18,True,False,False,0
R000172,L000112,C00016,P00152,2024-11-20,92640,74112.0,Automatic,1095,4,Completed,16,True,False,True,2
R000173,L000113,C00016,P00042,2023-07-01,149220,149220.0,Negotiated,730,16,Pending,12,False,True,True,2
R000174,L000115,C00017,P00094,2021-01-11,19890,17105.4,Negotiated,365,17,Pending,14,False,False,True,1
R000175,L000115,C00017,P00094,2022-01-11,19890,18497.7,Automatic,1095,7,Completed,17,True,False,False,3
R000176,L000116,C00017,P00095,2022-10-05,28272,31381.92,Negotiated,365,11,Pending,20,True,True,True,1
R000177,L000116,C00017,P00095,2023-10-05,28272,23465.76,Manual,365,25,Declined,20,True,False,True,3
R000178,L000116,C00017,P00095,2024-10-04,28272,24596.64,Manual,1095,11,Pending,8,False,True,False,0
R000179,L000118,C00017,P00159,2022-05-05,35568,42325.92,Automatic,1095,25,Declined,7,False,True,True,1
R000180,L000118,C00017,P00159,2023-05-05,35568,33078.24,Manual,1095,9,Declined,19,False,False,False,0
R000181,L000118,C00017,P00159,2024-05-04,35568,42681.6,Automatic,365,20,Completed,21,True,False,True,0
R000182,L000119,C00017,P00160,2025-06-07,36540,33616.8,Automatic,1095,24,Declined,17,True,True,False,1
R000183,L000120,C00017,P00162,2025-09-15,56210,67452.0,Automatic,1095,20,Pending,24,False,True,False,1
R000184,L000121,C00017,P00132,2022-03-21,65954,61996.76,Manual,365,4,Declined,15,False,True,True,3
R000185,L000121,C00017,P00132,2023-03-21,65954,78485.26,Automatic,1095,7,Declined,25,True,False,False,1
R000186,L000123,C00018,P00240,2022-11-19,11868,11749.32,Automatic,365,0,Completed,1,True,False,True,3
R000187,L000123,C00018,P00240,2024-11-18,11868,13410.84,Manual,1095,5,Pending,24,False,True,False,1
R000188,L000123,C00018,P00240,2026-11-18,11868,11274.6,Manual,730,5,Declined,20,True,True,True,1
R000189,L000124,C00018,P00243,2020-10-15,123750,117562.5,Automatic,365,16,Declined,17,False,False,False,2
R000190,L000125,C00018,P00249,2021-12-05,11718,13710.06,Manual,730,0,Pending,10,False,True,True,3
R000191,L000125,C00018,P00249,2022-03-05,11718,13358.52,Automatic,365,1,Declined,7,True,True,True,3
R000192,L000125,C00018,P00249,2022-06-03,11718,9374.4,Automatic,730,16,Completed,11,False,False,True,3
R000193,L000126,C00018,P00160,2023-08-26,18774,15206.94,Manual,1095,7,Pending,9,False,False,True,0
R000194,L000126,C00018,P00160,2023-09-25,18774,16521.12,Automatic,365,13,Completed,21,True,False,True,1
R000195,L000127,C00018,P00081,2025-07-31,100983,83815.89,Automatic,365,5,Pending,24,False,True,True,3
R000196,L000127,C00018,P00081,2026-07-31,100983,88865.04,Manual,1095,4,Declined,22,True,True,False,2
R000197,L000127,C00018,P00081,2027-07-31,100983,119159.94,Manual,365,12,Declined,10,False,False,True,3
R000198,L000128,C00018,P00080,2024-09-27,101436,99407.28,Negotiated,1095,10,Completed,17,False,True,False,1
R000199,L000128,C00018,P00080,2025-09-27,101436,100421.64,Manual,365,19,Pending,9,True,True,False,1
R000200,L000128,C00018,P00080,2026-09-27,101436,105493.44,Manual,730,10,Completed,3,False,True,True,0
R000201,L000129,C00018,P00091,2023-08-08,58136,59298.72,Automatic,1095,5,Completed,14,True,False,False,1
R000202,L000129,C00018,P00091,2023-11-06,58136,49996.96,Manual,1095,20,Pending,17,True,True,True,3
R000203,L000129,C00018,P00091,2024-02-04,58136,48834.24,Negotiated,1095,6,Pending,27,True,True,False,3
R000204,L000130,C00018,P00092,2023-06-13,21390,22887.3,Automatic,730,1,Pending,19,False,True,True,2
R000205,L000132,C00018,P00096,2023-03-27,42282,45664.56,Automatic,1095,1,Pending,24,True,False,False,3
R000206,L000132,C00018,P00096,2023-04-26,42282,47778.66,Automatic,730,2,Pending,16,False,True,False,3
R000207,L000133,C00018,P00097,2022-08-12,40960,39731.2,Automatic,1095,6,Completed,9,True,True,False,2
R000208,L000134,C00018,P00134,2022-06-08,13488,15915.84,Negotiated,365,23,Completed,9,True,False,True,3
R000209,L000134,C00018,P00134,2023-06-08,13488,13892.64,Manual,1095,20,Pending,26,True,False,True,0
R000210,L000135,C00018,P00124,2021-11-08,209457,198984.15,Automatic,365,21,Completed,1,False,True,True,0
R000211,L000135,C00018,P00124,2022-11-08,209457,222024.42,Negotiated,365,7,Pending,6,False,True,True,0
R000212,L000136,C00018,P00122,2021-08-21,102912,122465.28,Automatic,730,19,Completed,5,True,True,True,1
R000213,L000139,C00020,P00159,2026-06-16,126711,115307.01,Manual,365,3,Declined,2,True,False,False,3
R000214,L000139,C00020,P00159,2028-06-15,126711,105170.13,Negotiated,1095,3,Declined,11,False,True,False,3
R000215,L000140,C00020,P00160,2025-01-05,30240,25704.0,Automatic,1095,5,Completed,16,True,False,True,3
R000216,L000141,C00020,P00101,2024-04-01,18936,16853.04,Negotiated,365,2,Completed,16,True,True,False,1
R000217,L000141,C00020,P00101,2025-04-01,18936,15338.16,Automatic,365,24,Pending,8,False,False,True,0
R000218,L000142,C00020,P00098,2022-11-21,211580,228506.4,Automatic,730,11,Completed,22,True,True,False,0
R000219,L000142,C00020,P00098,2023-11-21,211580,224274.8,Automatic,730,1,Pending,7,True,True,True,2
R000220,L000143,C00020,P00119,2025-04-02,83754,70353.36,Automatic,730,25,Declined,2,True,False,False,2
R000221,L000143,C00020,P00119,2026-04-02,83754,71190.9,Automatic,365,17,Pending,8,False,True,True,3
R000222,L000143,C00020,P00119,2027-04-02,83754,92129.4,Manual,365,12,Completed,23,False,True,False,2
R000223,L000144,C00021,P00190,2024-07-31,10875,9461.25,Manual,365,17,Pending,7,True,True,True,1
R000224,L000147,C00021,P00058,2021-08-26,47124,50893.92,Negotiated,730,14,Pending,0,False,True,True,0
R000225,L000147,C00021,P00058,2022-08-26,47124,54663.84,Automatic,365,19,Completed,27,False,False,False,1
R000226,L000148,C00021,P00059,2024-07-28,242223,242223.0,Automatic,1095,7,Completed,12,True,True,False,1
R000227,L000149,C00021,P00012,2025-11-03,4323,3890.7,Automatic,730,5,Pending,4,False,False,False,1
R000228,L000151,C00022,P00032,2025-09-01,93342,94275.42,Negotiated,730,11,Pending,13,False,False,False,2
R000229,L000151,C00022,P00032,2026-09-01,93342,80274.12,Manual,730,17,Completed,8,False,True,True,0
R000230,L000151,C00022,P00032,2027-09-01,93342,112010.4,Negotiated,730,4,Declined,16,True,True,False,1
R000231,L000152,C00022,P00153,2024-09-20,61880,64974.0,Automatic,730,24,Pending,2,True,False,True,1
R000232,L000152,C00022,P00153,2025-09-20,61880,56310.8,Automatic,1095,17,Declined,10,False,False,False,1
R000233,L000153,C00022,P00149,2021-08-17,124845,142323.3,Manual,730,15,Declined,28,False,False,True,3
R000234,L000154,C00023,P00088,2022-08-04,43407,36027.81,Manual,730,3,Completed,21,False,False,True,2
R000235,L000154,C00023,P00088,2022-09-03,43407,42104.79,Manual,1095,2,Pending,11,True,True,False,0
R000236,L000154,C00023,P00088,2022-10-03,43407,44275.14,Manual,1095,16,Pending,1,True,False,True,1
R000237,L000155,C00023,P00232,2023-09-18,108267,89861.61,Automatic,1095,5,Completed,10,True,False,False,2
R000238,L000155,C00023,P00232,2024-09-17,108267,115845.69,Automatic,365,18,Declined,8,False,True,False,1
R000239,L000155,C00023,P00232,2025-09-17,108267,97440.3,Manual,365,7,Completed,28,True,True,False,3
R000240,L000156,C00023,P00056,2023-09-20,37812,33652.68,Negotiated,365,5,Declined,27,False,False,True,2
R000241,L000156,C00023,P00056,2024-09-19,37812,42727.56,Automatic,365,15,Pending,25,False,True,True,0
R000242,L000157,C00023,P00267,2021-01-01,96066,115279.2,Manual,730,22,Pending,8,True,False,True,0
R000243,L000157,C00023,P00267,2021-04-01,96066,92223.36,Automatic,1095,6,Declined,1,True,True,True,0
R000244,L000158,C00023,P00264,2027-11-12,92845,90988.1,Automatic,1095,7,Pending,14,False,False,False,2
R000245,L000160,C00023,P00122,2022-10-21,38592,35890.56,Negotiated,365,19,Declined,19,True,True,False,0
R000246,L000160,C00023,P00122,2023-10-21,38592,39749.76,Negotiated,1095,0,Declined,27,False,True,False,1
R000247,L000160,C00023,P00122,2024-10-20,38592,43608.96,Manual,730,7,Declined,1,True,False,True,2
R000248,L000161,C00023,P00123,2024-03-12,91184,106685.28,Manual,1095,0,Pending,4,True,False,False,1
R000249,L000163,C00024,P00079,2024-03-17,30388,31299.64,Automatic,365,7,Completed,29,False,False,True,1
R000250,L000166,C00024,P00124,2024-04-28,113220,120013.2,Negotiated,730,11,Declined,10,False,True,True,1
R000251,L000166,C00024,P00124,2025-04-28,113220,115484.4,Manual,1095,9,Pending,28,True,False,False,0
R000252,L000168,C00024,P00119,2022-12-25,87373,101352.68,Automatic,1095,22,Declined,27,False,False,True,3
R000253,L000168,C00024,P00119,2023-12-25,87373,96110.3,Manual,1095,25,Pending,7,False,True,False,3
