Customer_ID,Total_Purchased,Total_Activated,Total_Contract_Value,Avg_Contract_Value,Total_Licenses,Avg_Satisfaction,Total_Support_Tickets,High_Churn_Risk_Count
C00043,983,827,525868,87644.67,6,6.83,35,2
C00044,534,422,193571,48392.75,4,4.0,22,3
C00045,1439,1181,695996,86999.5,8,6.25,41,4
C00046,980,823,522641,74663.0,7,4.86,51,3
C00047,1753,1501,629996,57272.36,11,5.73,49,2
C00048,729,575,438915,87783.0,5,6.8,25,4
C00049,1118,927,659795,82474.38,8,4.5,30,0
C00050,299,244,94282,31427.33,3,4.67,7,2
C00051,406,359,41591,13863.67,3,3.67,5,2
C00052,682,572,255861,51172.2,5,4.8,28,0
C00053,1298,1058,937401,133914.43,7,5.0,50,3
C00054,100,95,9746,4873.0,2,7.5,9,2
C00055,328,290,198516,99258.0,2,8.5,11,0
C00056,506,406,185759,92879.5,2,6.0,11,0
C00057,642,557,229016,45803.2,5,5.2,14,2
C00058,879,751,579903,115980.6,5,4.4,20,2
C00059,1892,1592,1049759,74982.79,14,4.93,70,5
C00060,1562,1327,994379,110486.56,9,7.0,42,3
C00061,434,343,222288,55572.0,4,5.75,28,2
C00062,1160,957,329249,82312.25,4,4.5,26,0
C00063,2890,2459,1451256,80625.33,18,5.11,91,7
C00064,878,755,441952,88390.4,5,5.8,17,0
C00065,1107,937,632728,90389.71,7,5.71,36,4
C00066,1037,902,637847,106307.83,6,6.33,44,4
C00067,588,463,349034,116344.67,3,3.67,10,1
C00068,556,467,404409,101102.25,4,2.75,29,2
C00069,3496,2891,2088878,99470.38,21,5.1,110,7
C00070,861,751,633389,90484.14,7,6.57,48,1
C00071,25,20,6076,3038.0,2,7.5,14,1
C00072,469,381,162795,54265.0,3,3.67,11,2
C00073,1063,837,912199,114024.88,8,5.75,37,3
C00074,855,727,366365,61060.83,6,4.17,34,1
C00075,598,491,350497,50071.0,7,6.43,60,1
C00076,156,127,64760,32380.0,2,6.0,17,1
C00077,898,767,417585,83517.0,5,5.0,21,2
C00078,1894,1561,930315,66451.07,14,7.14,67,5
C00079,855,747,521613,65201.62,8,6.0,50,0
C00080,1141,918,472105,42918.64,11,5.18,59,1
C00081,1724,1358,724395,48293.0,15,5.2,84,5
C00082,2188,1843,825867,63528.23,13,6.23,76,2
C00083,647,462,289635,57927.0,5,5.0,28,3
C00084,3189,2667,1713276,77876.18,22,7.0,88,4
C00085,306,257,109945,54972.5,2,4.5,18,1
C00086,200,157,177000,177000.0,1,6.0,8,0
C00087,168,150,119000,59500.0,2,1.5,12,0
C00088,1301,1084,700309,87538.62,8,3.88,37,3
C00089,554,441,300560,100186.67,3,4.67,21,0
C00090,1248,1060,467013,51890.33,9,6.67,55,3
C00091,966,818,493384,98676.8,5,6.8,23,1
C00092,2226,1844,1378062,114838.5,12,5.67,71,3
C00093,1521,1231,631342,52611.83,12,6.0,81,3
C00094,314,263,84442,28147.33,3,4.33,9,0
C00095,3313,2752,1341979,58346.91,23,6.04,127,8
C00096,1217,1044,484214,80702.33,6,7.67,33,2
C00097,730,607,456390,114097.5,4,3.25,27,1
C00098,435,338,232479,77493.0,3,8.33,11,3
C00099,3998,3356,1702969,63072.93,27,5.96,116,12
C00100,852,692,454866,56858.25,8,5.5,42,3
C00101,738,625,310137,77534.25,4,6.0,20,2
C00102,177,167,31212,15606.0,2,6.5,1,1
C00103,199,172,169548,169548.0,1,9.0,8,0
C00104,86,86,19952,19952.0,1,3.0,3,0
C00105,1377,1130,671607,74623.0,9,3.89,34,1
C00106,990,852,353551,50507.29,7,2.86,22,2
C00107,927,779,463520,92704.0,5,5.8,34,2
C00108,841,715,479791,79965.17,6,5.67,32,1
C00109,438,404,149162,37290.5,4,6.0,18,3
C00110,550,476,243257,48651.4,5,5.2,29,1
C00111,755,599,428612,85722.4,5,6.2,26,0
C00112,973,785,294928,49154.67,6,7.83,34,4
C00113,2603,2202,1654099,87057.84,19,4.68,102,6
C00114,2412,2044,1433750,89609.38,16,6.56,72,5
C00115,648,533,533157,177719.0,3,5.33,20,0
C00116,1608,1370,925280,92528.0,10,5.8,36,4
C00117,214,187,112530,56265.0,2,7.0,9,2
C00118,1445,1166,934926,116865.75,8,5.25,35,3
C00119,1241,1095,549371,78481.57,7,5.71,32,2
C00120,1844,1527,986042,82170.17,12,5.33,89,7
C00121,1337,1150,687090,85886.25,8,5.25,34,2
C00122,616,540,374269,93567.25,4,5.25,22,0
C00123,269,235,81238,81238.0,1,9.0,8,0
C00124,1239,1018,627609,89658.43,7,4.86,31,3
C00125,759,653,471805,94361.0,5,6.2,37,1
C00126,549,459,221853,55463.25,4,6.5,22,1
C00127,156,130,73944,73944.0,1,9.0,10,0
C00128,1049,879,592967,98827.83,6,6.17,25,3
C00129,436,323,162866,81433.0,2,3.5,3,1
C00130,2841,2364,1118008,69875.5,16,5.5,66,6
C00131,849,652,498810,124702.5,4,5.0,19,1
C00132,939,798,548286,91381.0,6,7.5,35,2
C00133,761,591,373835,93458.75,4,5.5,21,0
C00134,829,717,467200,116800.0,4,4.5,17,2
C00135,640,542,357424,178712.0,2,6.5,17,1
C00136,2091,1747,978955,75304.23,13,5.23,68,4
C00137,1355,1122,775562,96945.25,8,5.62,35,3
C00138,4465,3750,2695203,92938.03,29,6.03,165,10
C00139,388,327,247064,123532.0,2,4.5,8,0
C00140,468,372,280782,93594.0,3,3.67,7,1
C00141,1454,1203,839897,104987.12,8,5.25,46,2
C00142,3599,3061,1604718,80235.9,20,4.8,88,7
C00143,763,649,325210,65042.0,5,6.0,24,1
C00144,502,398,219730,54932.5,4,5.0,13,1
C00145,1149,974,657395,59763.18,11,5.18,40,7
C00146,361,293,267585,133792.5,2,2.5,11,0
C00147,574,493,468743,156247.67,3,5.0,5,0
C00148,279,225,144682,48227.33,3,4.67,19,1
C00149,488,411,152936,76468.0,2,5.5,8,1
C00150,2051,1752,1120973,80069.5,14,7.0,69,3
C00151,3084,2634,1806998,78565.13,23,6.26,125,11
C00152,2075,1757,1167897,77859.8,15,4.13,60,7
C00153,249,203,128733,128733.0,1,7.0,0,0
C00154,81,63,38412,19206.0,2,5.5,16,0
C00155,1970,1656,934981,84998.27,11,5.0,36,3
C00156,1067,912,589987,117997.4,5,2.4,30,3
C00157,750,619,351532,117177.33,3,2.33,21,1
C00158,3375,2819,1777300,84633.33,21,5.0,111,10
C00159,652,554,300088,100029.33,3,6.67,12,2
C00160,913,767,586681,97780.17,6,4.5,20,2
C00161,1237,1092,675402,67540.2,10,6.1,51,4
C00162,737,639,382707,63784.5,6,3.67,33,2
C00163,2710,2273,1691557,105722.31,16,5.0,97,3
C00164,1154,1013,647511,92501.57,7,5.0,17,5
C00165,3898,3228,2066398,86099.92,24,5.04,100,7
C00166,771,619,376302,53757.43,7,2.86,41,1
C00167,18,17,7596,7596.0,1,9.0,0,0
C00168,752,609,452747,113186.75,4,5.0,25,1
C00169,509,434,365506,91376.5,4,5.0,17,3
C00170,399,314,209799,52449.75,4,8.25,37,1
C00171,323,267,155754,77877.0,2,6.0,14,2
C00172,341,281,102982,102982.0,1,4.0,10,0
C00173,786,675,469013,117253.25,4,3.5,34,3
C00174,955,832,663984,94854.86,7,5.86,46,3
C00175,521,462,346343,86585.75,4,4.5,27,2
C00176,3043,2540,1691651,84582.55,20,5.45,108,6
C00177,702,589,432069,108017.25,4,4.0,23,0
C00178,1238,1070,605623,86517.57,7,6.14,28,1
C00179,367,312,220676,73558.67,3,7.0,21,1
C00180,978,828,558705,111741.0,5,6.6,20,2
C00181,258,206,138390,69195.0,2,6.5,7,0
C00182,1786,1521,814067,62620.54,13,5.69,70,4
C00183,1119,942,703653,117275.5,6,5.0,39,3
C00184,292,256,132854,44284.67,3,5.67,10,2
C00185,1073,901,433059,86611.8,5,6.4,36,3
C00186,1988,1687,1241730,95517.69,13,6.23,74,4
C00187,1284,1092,572865,81837.86,7,6.0,29,2
C00188,421,348,247920,82640.0,3,3.67,17,1
C00189,507,430,264084,66021.0,4,3.75,27,2
C00190,4258,3532,2084557,77205.81,27,5.7,120,9
C00191,466,388,275332,68833.0,4,3.75,17,1
C00192,788,668,206340,41268.0,5,5.2,14,2
C00193,199,187,171339,171339.0,1,9.0,3,0
C00194,557,455,206204,51551.0,4,6.0,25,2
C00195,650,529,348540,116180.0,3,7.0,17,1
C00196,3686,3023,2155643,89818.46,24,6.21,116,6
C00197,2887,2434,1605952,89219.56,18,5.56,80,6
C00198,1165,925,722324,80258.22,9,6.22,50,2
C00199,1104,924,776721,129453.5,6,7.67,18,2
C00200,1403,1149,843439,140573.17,6,6.33,38,0
C00201,495,422,40568,13522.67,3,4.33,16,1
C00202,621,529,295641,73910.25,4,7.25,16,0
C00203,609,526,320362,64072.4,5,3.6,22,1
C00204,1864,1599,1162664,105696.73,11,6.0,55,3
C00205,1108,946,716095,71609.5,10,6.5,51,3
C00206,583,503,239346,39891.0,6,6.33,22,3
C00207,327,294,259311,259311.0,1,1.0,3,0
C00208,951,805,456478,65211.14,7,6.71,25,4
C00209,2116,1770,1082059,90171.58,12,4.67,61,4
C00210,666,553,297128,74282.0,4,4.0,22,3
C00211,876,719,400131,66688.5,6,4.17,29,3
C00212,407,301,293147,146573.5,2,8.0,8,1
C00213,1183,982,791222,131870.33,6,6.5,34,2
C00214,6722,5573,3495229,97089.69,36,5.64,181,12
C00215,2329,1963,1496613,115124.08,13,5.38,65,5
C00216,1561,1332,551326,55132.6,10,5.1,72,1
C00217,444,387,310612,155306.0,2,3.5,7,0
C00218,712,615,471707,78617.83,6,6.17,17,2
C00219,152,121,48184,48184.0,1,10.0,1,0
C00220,1535,1281,961431,96143.1,10,6.8,32,4
C00221,4238,3515,2299518,85167.33,27,6.63,106,10
C00222,1856,1598,1003273,71662.36,14,6.07,78,7
C00223,426,336,274426,137213.0,2,4.0,6,0
C00224,4468,3706,2615387,90185.76,29,6.34,143,7
C00225,1514,1292,853940,85394.0,10,4.9,49,5
C00226,649,569,371424,61904.0,6,5.5,24,3
C00227,1370,1105,779864,111409.14,7,5.86,42,4
C00228,347,282,114211,57105.5,2,5.5,6,0
C00229,237,178,85218,42609.0,2,9.0,12,0
C00230,2719,2214,1416945,83349.71,17,6.24,88,6
C00231,2650,2206,1632035,116573.93,14,5.93,80,7
C00232,316,263,156700,78350.0,2,2.0,10,0
C00233,810,690,398412,66402.0,6,5.17,44,2
C00234,3215,2680,1480140,70482.86,21,6.9,115,5
C00235,935,766,454194,75699.0,6,5.0,28,1
C00236,941,797,392136,49017.0,8,5.12,42,3
C00237,1495,1250,806302,115186.0,7,7.29,27,3
C00238,439,379,273582,136791.0,2,4.5,13,1
C00239,55,46,24076,12038.0,2,5.5,11,0
C00240,157,139,86045,43022.5,2,3.5,13,0
C00241,557,473,295457,59091.4,5,6.2,22,1
C00242,765,637,336520,84130.0,4,6.75,16,2
C00243,1450,1234,925916,92591.6,10,5.0,62,6
C00244,170,144,117174,39058.0,3,6.33,16,1
C00245,918,738,536004,76572.0,7,5.29,38,4
C00246,2681,2227,1512772,79619.58,19,5.74,96,6
C00247,791,678,592638,148159.5,4,6.75,11,3
C00248,874,705,398886,99721.5,4,6.0,23,0
C00249,867,693,357041,59506.83,6,7.17,28,3
C00250,819,662,504447,100889.4,5,6.4,27,1
C00251,511,424,313868,104622.67,3,5.33,19,1
C00252,5624,4779,2930515,83729.0,35,5.54,182,14
C00253,2949,2475,1401283,70064.15,20,5.4,107,6
C00254,266,207,190988,190988.0,1,7.0,6,0
C00255,1468,1209,1048861,131107.62,8,4.88,34,3
C00256,1702,1429,1020810,113423.33,9,5.56,23,3
C00257,278,243,64254,32127.0,2,8.0,16,1
C00258,125,108,94979,47489.5,2,9.5,15,2
C00259,1481,1287,716311,79590.11,9,4.56,43,2
C00260,109,85,41311,41311.0,1,8.0,4,1
C00261,387,316,223811,74603.67,3,4.67,17,0
C00262,1270,1046,523469,65433.62,8,5.25,50,4
C00263,4083,3451,2001873,74143.44,27,4.89,147,8
C00264,782,619,543284,77612.0,7,5.86,45,2
C00265,792,638,557631,79661.57,7,5.86,40,1
C00266,2412,2008,1152547,76836.47,15,4.8,68,8
C00267,783,649,134822,33705.5,4,8.75,24,0
C00268,4134,3479,2016593,67219.77,30,5.23,172,15
C00269,3063,2563,1814417,100800.94,18,5.33,81,7
C00270,624,492,437112,109278.0,4,4.25,27,2
C00271,1191,1011,578743,64304.78,9,6.11,59,3
C00272,185,152,135019,67509.5,2,6.0,10,0
C00273,410,335,132900,33225.0,4,5.0,20,2
C00274,713,598,327627,109209.0,3,8.0,18,2
C00275,416,344,265825,132912.5,2,1.5,14,1
C00276,764,649,407210,101802.5,4,3.0,24,1
C00277,881,740,200818,33469.67,6,6.0,23,3
C00278,445,393,323239,80809.75,4,3.25,18,1
C00279,527,413,334436,111478.67,3,6.0,18,1
C00280,230,184,199372,99686.0,2,6.5,8,0
C00281,317,259,155054,77527.0,2,4.0,1,1
C00282,773,669,384250,76850.0,5,6.0,27,2
C00283,1738,1439,1156539,144567.38,8,5.62,39,3
C00284,182,147,126523,42174.33,3,6.0,13,0
C00285,146,118,86578,86578.0,1,5.0,1,0
C00286,141,126,96444,96444.0,1,7.0,2,1
C00287,141,125,113070,37690.0,3,5.67,15,1
C00288,222,176,127305,63652.5,2,5.5,10,0
C00289,113,100,74467,74467.0,1,9.0,7,1
C00290,4082,3440,2240667,82987.67,27,5.56,127,9
C00291,1829,1542,839011,69917.58,12,6.0,62,4
C00292,693,544,401860,80372.0,5,7.0,14,2
C00293,1394,1217,950945,135849.29,7,5.57,53,4
C00294,1501,1231,679997,75555.22,9,3.78,60,3
C00295,712,598,459460,76576.67,6,5.0,21,2
C00296,1,0,407,407.0,1,5.0,7,1
C00297,513,444,408969,136323.0,3,5.67,19,1
C00298,220,197,122331,40777.0,3,3.67,16,0
C00299,1160,979,479344,68477.71,7,5.71,32,2
C00300,812,695,535690,66961.25,8,5.75,40,3
C00301,948,783,524516,87419.33,6,5.17,29,2
C00302,1115,892,298682,49780.33,6,5.33,36,3
C00303,990,836,480630,80105.0,6,4.17,25,2
C00304,755,622,532194,76027.71,7,6.0,32,3
C00305,596,478,296492,59298.4,5,5.8,28,2
C00306,1050,858,660718,94388.29,7,7.14,31,0
C00307,1428,1187,403811,44867.89,9,5.11,49,0
C00308,1829,1562,733853,52418.07,14,4.64,61,7
C00309,735,635,453977,64853.86,7,4.86,38,2
C00310,230,208,173750,57916.67,3,3.67,15,0
C00311,1772,1547,960424,106713.78,9,4.78,63,3
C00312,879,771,328021,82005.25,4,6.0,23,0
C00313,894,750,394183,56311.86,7,5.71,36,2
C00314,986,871,515373,73624.71,7,5.0,39,2
C00315,117,87,63830,31915.0,2,10.0,10,1
C00316,1971,1623,1246665,113333.18,11,5.55,47,3
C00317,2688,2255,1253080,62654.0,20,5.05,118,11
C00318,520,461,335544,111848.0,3,6.67,16,0
C00319,776,680,323865,64773.0,5,5.0,41,0
C00320,219,177,142874,47624.67,3,5.67,16,2
C00321,1376,1150,423420,70570.0,6,5.33,25,2
C00322,464,394,134393,33598.25,4,6.75,19,1
C00323,3781,3105,2215020,96305.22,23,5.65,103,9
C00324,187,138,148751,74375.5,2,5.5,12,2
C00325,2013,1685,1288250,117113.64,11,7.36,87,5
C00326,180,142,160920,160920.0,1,1.0,7,1
C00327,155,115,9777,4888.5,2,2.5,13,0
C00328,1016,885,640693,106782.17,6,4.5,40,1
C00329,1209,1060,711955,71195.5,10,6.3,53,5
C00330,479,391,203980,67993.33,3,6.0,11,1
C00331,686,594,198634,66211.33,3,5.33,24,1
C00332,252,210,106344,106344.0,1,10.0,0,0
C00333,432,355,153398,51132.67,3,9.0,12,0
C00334,2363,1956,1137980,66940.0,17,6.12,78,9
C00335,312,272,138493,69246.5,2,4.0,18,0
C00336,1348,1124,636532,106088.67,6,5.17,25,2
C00337,895,730,510584,63823.0,8,6.38,38,3
C00338,565,501,286619,57323.8,5,5.2,19,1
C00339,182,154,160654,80327.0,2,3.5,6,1
C00340,3564,2964,1770475,93182.89,19,5.58,120,5
C00341,11,9,5632,5632.0,1,5.0,10,1
C00342,305,254,139804,46601.33,3,7.33,16,1
C00343,817,689,323336,80834.0,4,7.5,17,3
C00344,608,485,192262,64087.33,3,4.67,22,0
C00345,97,81,49664,49664.0,1,6.0,4,0
C00346,986,829,373688,46711.0,8,5.75,36,3
C00347,1232,1021,620217,62021.7,10,5.1,58,4
C00348,2680,2258,1371372,80668.94,17,5.82,88,8
C00349,169,131,130825,65412.5,2,6.0,5,1
C00350,171,146,166896,166896.0,1,8.0,7,1
C00351,824,666,495666,82611.0,6,5.33,16,1
C00352,1336,1106,481689,60211.12,8,6.25,38,2
C00353,1261,1033,741458,67405.27,11,4.91,48,3
C00354,1643,1403,1092668,91055.67,12,6.5,67,4
C00355,1298,1083,734196,91774.5,8,5.75,41,1
C00356,697,591,314768,104922.67,3,7.67,10,1
C00357,1284,1108,708531,101218.71,7,5.57,38,3
C00358,303,260,238833,79611.0,3,8.0,21,2
C00359,1042,878,297151,37143.88,8,4.62,36,1
C00360,2448,2037,1528260,95516.25,16,6.06,78,3
C00361,460,397,288620,144310.0,2,7.5,1,1
C00362,591,472,344259,86064.75,4,5.5,13,2
C00363,236,198,57820,57820.0,1,8.0,0,0
C00364,1899,1557,1108652,85280.92,13,6.0,55,1
C00365,2613,2195,1406221,78123.39,18,5.78,65,9
C00366,473,360,185732,46433.0,4,3.5,9,2
C00367,4208,3446,2455644,90949.78,27,5.63,155,7
C00368,743,640,509943,84990.5,6,4.17,31,1
C00369,152,138,107464,107464.0,1,9.0,10,0
C00370,1341,1108,657309,73034.33,9,6.11,40,3
C00371,220,189,156540,78270.0,2,5.5,14,0
C00372,221,197,73950,36975.0,2,6.0,5,1
C00373,2208,1828,1112121,111212.1,10,6.6,50,3
C00374,430,361,355012,177506.0,2,2.5,13,0
C00375,650,547,302837,75709.25,4,6.5,14,1
C00376,1141,931,599667,49972.25,12,7.0,70,4
C00377,2884,2469,1575509,87528.28,18,5.33,80,6
C00378,1597,1305,699292,99898.86,7,4.71,30,2
C00379,1143,959,715525,143105.0,5,7.6,16,1
C00380,253,206,145594,72797.0,2,5.0,12,1
C00381,711,588,381509,127169.67,3,5.33,25,1
C00382,1048,879,662788,132557.6,5,3.6,24,2
C00383,1114,923,525146,65643.25,8,5.62,38,3
C00384,5222,4385,2534298,87389.59,29,4.79,165,11
C00385,614,507,319698,79924.5,4,7.75,15,2
C00386,1403,1194,700446,140089.2,5,5.2,36,1
C00387,4563,3845,2317665,82773.75,28,5.14,150,11
C00388,1240,978,523091,87181.83,6,7.5,20,1
C00389,199,185,141688,141688.0,1,9.0,9,0
C00390,199,165,34697,11565.67,3,5.0,8,2
C00391,1269,1031,770945,154189.0,5,4.6,30,3
C00392,1674,1354,796572,66381.0,12,5.58,65,1
C00393,1236,1025,740080,105725.71,7,6.0,35,0
C00394,328,277,238645,59661.25,4,5.5,13,1
C00395,2681,2252,1509303,79437.0,19,4.53,90,8
C00396,343,289,188110,62703.33,3,6.67,6,1
C00397,748,630,340453,56742.17,6,8.0,28,2
C00398,2354,1938,1384081,92272.07,15,6.13,73,5
C00399,1704,1414,902382,56398.88,16,6.0,71,3
C00400,652,550,305898,101966.0,3,6.67,19,1
C00401,3223,2784,1622891,67620.46,24,7.08,124,10
C00402,1125,937,407852,45316.89,9,5.67,32,1
C00403,58,50,41644,41644.0,1,7.0,7,0
C00404,768,644,276746,39535.14,7,5.71,37,4
C00405,3897,3254,1996581,83190.88,24,4.83,109,7
C00406,1890,1546,1123848,74923.2,15,6.33,88,3
C00407,2691,2231,1503701,75185.05,20,5.25,103,9
C00408,744,595,301080,60216.0,5,4.4,31,2
C00409,407,315,223793,111896.5,2,3.5,0,1
C00410,683,577,337691,67538.2,5,6.6,35,0
C00411,388,326,188948,47237.0,4,5.0,23,1
C00412,1163,994,706514,100930.57,7,5.86,22,3
C00413,1169,959,749879,74987.9,10,5.7,47,4
C00414,976,844,572253,95375.5,6,5.67,28,1
C00415,1140,972,483713,53745.89,9,4.78,42,6
C00416,2519,2089,840897,56059.8,15,5.33,72,5
C00417,633,526,274965,68741.25,4,3.0,15,1
C00418,1029,840,714982,102140.29,7,5.29,38,1
C00419,237,204,24576,12288.0,2,7.5,9,1
C00420,1782,1560,900769,90076.9,10,6.7,46,7
C00421,2830,2335,1389262,99233.0,14,4.07,71,4
C00422,492,418,169792,56597.33,3,3.0,26,2
C00423,1194,1021,587989,83998.43,7,6.71,46,4
C00424,160,139,50273,25136.5,2,6.5,2,2
C00425,2464,2050,1390985,92732.33,15,6.67,84,4
C00426,567,463,252448,84149.33,3,9.33,7,1
C00427,542,443,432161,108040.25,4,3.5,21,2
C00428,870,714,643772,160943.0,4,5.25,29,1
C00429,3848,3200,1742680,72611.67,24,6.29,129,6
C00430,2276,1863,1018138,84844.83,12,5.58,72,4
C00431,809,669,550866,137716.5,4,4.5,9,2
C00432,195,162,156780,156780.0,1,5.0,6,0
C00433,3258,2693,1714422,85721.1,20,4.95,86,7
C00434,2258,1880,895397,59693.13,15,6.07,85,3
C00435,1904,1558,821128,68427.33,12,5.42,82,5
C00436,1732,1394,1034407,86200.58,12,6.25,43,2
C00437,4688,3998,2717664,100654.22,27,5.44,122,12
C00438,499,439,278865,92955.0,3,5.0,8,2
C00439,1060,905,777658,97207.25,8,6.25,45,1
C00440,1593,1337,955670,119458.75,8,5.38,24,4
C00441,2316,1927,1285738,91838.43,14,4.64,59,5
C00442,437,360,308033,102677.67,3,7.67,18,0
C00443,230,200,74552,24850.67,3,6.67,7,1
C00444,1407,1182,787510,87501.11,9,5.44,42,4
C00445,557,470,182527,36505.4,5,5.6,33,3
C00446,407,346,181662,60554.0,3,4.33,7,1
C00447,583,483,279085,55817.0,5,7.0,25,2
C00448,856,696,438461,87692.2,5,4.6,25,2
C00449,720,591,495733,70819.0,7,6.0,37,3
C00450,3702,3035,1778835,93622.89,19,6.95,90,6
C00451,1984,1669,1071539,82426.08,13,5.31,54,2
C00452,4098,3374,2210150,88406.0,25,6.6,96,8
C00453,3543,2917,2283748,95156.17,24,6.0,141,6
C00454,392,348,250288,125144.0,2,8.5,16,0
C00455,91,70,63309,31654.5,2,9.0,10,1
C00456,755,610,426709,60958.43,7,6.14,25,1
C00457,2424,2047,1085478,83498.31,13,5.31,90,4
C00458,1132,973,689570,137914.0,5,6.6,19,3
C00459,386,309,261758,130879.0,2,5.5,14,0
C00460,118,100,52013,26006.5,2,6.5,14,1
C00461,610,463,395374,131791.33,3,2.67,10,0
C00462,701,580,448805,74800.83,6,5.83,28,1
C00463,430,372,154357,51452.33,3,3.67,7,0
C00464,2599,2151,752354,53739.57,14,4.79,69,5
C00465,307,265,268128,134064.0,2,8.0,18,0
C00466,644,579,486997,121749.25,4,4.0,11,2
C00467,102,97,70880,35440.0,2,4.5,14,0
C00468,2780,2321,1406685,63940.23,22,6.27,141,9
C00469,556,454,131618,21936.33,6,4.33,29,1
C00470,634,556,280453,93484.33,3,4.0,13,1
C00471,2109,1755,1220939,67829.94,18,6.0,99,6
C00472,1934,1598,648584,58962.18,11,5.45,47,1
C00473,348,273,267037,89012.33,3,2.33,1,1
C00474,101,84,41309,41309.0,1,8.0,3,1
C00475,508,449,334801,111600.33,3,5.67,16,1
C00476,1550,1366,653868,54489.0,12,5.75,55,4
C00477,626,506,275825,68956.25,4,7.0,17,1
C00478,1791,1494,822949,74813.55,11,6.18,71,8
C00479,1507,1279,775400,86155.56,9,3.78,31,2
C00480,297,248,158419,52806.33,3,5.67,16,0
C00481,225,185,160425,80212.5,2,9.5,5,1
C00482,579,469,266850,53370.0,5,3.0,40,2
C00483,408,342,146720,48906.67,3,6.0,18,0
C00484,121,101,88330,88330.0,1,10.0,7,1
C00485,1217,1005,697883,116313.83,6,7.0,27,1
C00486,3372,2715,1610940,67122.5,24,6.04,98,9
C00487,522,431,267735,66933.75,4,5.0,20,2
C00488,683,560,398666,79733.2,5,5.4,37,1
C00489,1213,1045,331656,55276.0,6,6.83,35,0
C00490,2922,2483,1679424,88390.74,19,6.0,124,4
C00491,1056,904,540537,77219.57,7,5.29,32,0
C00492,1936,1650,909520,69963.08,13,6.23,48,5
C00493,2528,2131,1190870,79391.33,15,5.27,64,4
C00494,2650,2276,1345064,74725.78,18,4.17,70,9
C00495,336,276,275856,275856.0,1,3.0,10,0
C00496,807,691,488928,97785.6,5,5.6,22,3
C00497,967,814,645465,129093.0,5,7.6,24,2
C00498,1805,1487,912646,76053.83,12,6.67,70,5
C00499,3836,3182,2516597,89878.46,28,5.14,102,10
C00500,3742,3112,1974616,78984.64,25,5.32,133,7
