Vendor_ID,Vendor_Name,Industry,Founded_Year,Headquarters,Country,Company_Size,Employee_Count,Annual_Revenue,Total_Products,Total_Customers,Market_Focus,Support_Model,Deployment_Model,Certification,Total_Revenue,Average_Contract_Value,Total_Licenses
V0024,Obrien Ltd,Cloud Services,2008,South Heatherside,Comoros,small,29,171235,3,46,B2C,24/7,Cloud,HIPAA,6574951,77352.36470588236,85
V0025,Wright-Fischer,Technology,1997,Whitemouth,Comoros,small,32,269080,3,47,B2C,Business Hours,Hybrid,None,9061714,105368.76744186046,86
V0026,"Wheeler, Gomez and Howard",Technology,2006,Howardfurt,Iraq,medium,52,5060675,9,45,B2C,Community,On-Premise,HIPAA,7284391,80048.25274725274,91
V0027,Salazar-Garrison,Enterprise Solutions,2018,Lake Bradleymouth,Falkland Islands (Malvinas),small,16,519767,5,40,B2B2C,24/7,Cloud,GDPR,5250992,60356.22988505747,87
V0028,"Williams, Palmer and Flynn",Enterprise Solutions,2011,Lake Kaitlyn,United Kingdom,small,15,640644,3,36,B2B2C,Business Hours,On-Premise,GDPR,4221852,58636.833333333336,72
V0029,Barton Group,Enterprise Solutions,1994,West Mindymouth,Egypt,small,49,370228,3,37,B2B2C,Community,Cloud,HIPAA,3050220,44856.17647058824,68
V0030,"Klein, Anderson and Underwood",Enterprise Solutions,2003,Daniellestad,Bahrain,small,32,517829,4,38,B2B,Business Hours,On-Premise,None,7718987,98961.3717948718,78
V0031,Rice Inc,Enterprise Solutions,2012,Millerhaven,Falkland Islands (Malvinas),medium,408,2097892,7,53,B2B,Business Hours,On-Premise,ISO27001,10789351,101786.33018867925,106
V0032,"Livingston, Rodriguez and Fisher",Software,1992,East Charles,Micronesia,small,16,483419,3,41,B2C,24/7,Hybrid,GDPR,7022583,92402.40789473684,76
V0033,"May, Foster and Martinez",Cloud Services,1992,Katieton,Netherlands Antilles,small,34,619587,4,41,B2B2C,Business Hours,On-Premise,SOC2,5393955,67424.4375,80
V0034,"Spence, Powell and Bell",Technology,2020,East William,Mozambique,large,3217,71079562,19,45,B2C,Community,On-Premise,None,7607064,86443.90909090909,88
V0035,Johnson-Moyer,Software,2006,New Davidhaven,Angola,large,2297,75588970,12,39,B2B2C,24/7,On-Premise,SOC2,6044203,85129.61971830986,71
V0036,"Melton, Thomas and Robinson",Technology,2017,Christopherport,Tonga,medium,499,9011889,10,44,B2B2C,24/7,On-Premise,ISO27001,7138749,80210.66292134831,89
V0037,Rodriguez-Casey,Cloud Services,1991,Lake Shawnside,Samoa,small,47,910411,3,31,B2B,Community,Cloud,None,7828427,142335.03636363638,55
V0038,Hill-Parker,Technology,2007,Robertburgh,Costa Rica,small,43,509126,3,43,B2B,24/7,Cloud,SOC2,5810992,65292.04494382023,89
V0039,Lamb-Hughes,Enterprise Solutions,1990,East Antonio,Panama,medium,257,8171386,10,47,B2B,24/7,Cloud,ISO27001,7921626,87050.83516483517,91
V0040,Perez-Green,Software,1997,Juarezville,Comoros,small,48,798851,5,45,B2C,24/7,On-Premise,ISO27001,5612025,66023.82352941176,85
V0041,"Perez, Carpenter and Baker",Software,1997,Martinshire,Swaziland,small,25,587305,5,42,B2B2C,Community,Cloud,ISO27001,7278680,89860.24691358025,81
V0042,"Craig, Fuller and Garrett",Enterprise Solutions,2004,Rossbury,United States Virgin Islands,small,44,906040,3,38,B2B2C,24/7,On-Premise,SOC2,8077985,109161.95945945945,74
V0043,Sullivan Group,Technology,2003,Ryanborough,India,small,42,721660,2,30,B2C,24/7,On-Premise,None,4511518,102534.5,44
V0044,"Howard, Young and Burns",Technology,2005,Collinsside,Niue,large,3365,22725739,16,44,B2B2C,Community,Hybrid,SOC2,5226932,57438.81318681319,91
V0045,Williams-Jacobson,Enterprise Solutions,2020,Robinsonbury,Honduras,small,17,399237,3,38,B2C,Business Hours,Cloud,ISO27001,8438660,112515.46666666666,75
V0046,Moore-Mullins,Cloud Services,2003,East Hollyview,Turks and Caicos Islands,medium,122,8246652,7,37,B2B,Community,Hybrid,None,5031211,71874.44285714286,70
V0047,Williams-Mcguire,Enterprise Solutions,2018,Lisastad,Romania,small,47,595490,3,36,B2B2C,24/7,On-Premise,GDPR,5503778,79764.89855072464,69
V0048,"Rivera, Houston and Chen",Cloud Services,1990,West Taylorport,India,small,40,742555,4,46,B2B,24/7,Hybrid,SOC2,7461867,79381.56382978724,94
V0049,Cunningham-Dougherty,Technology,1998,North Steven,Marshall Islands,small,17,836533,2,48,B2B,Business Hours,Hybrid,ISO27001,4820664,70892.11764705883,68
V0050,Miller-Lopez,Technology,2003,New Kimberlytown,Holy See (Vatican City State),small,15,599231,5,38,B2B2C,24/7,Cloud,SOC2,4279498,54170.86075949367,79
