renewal_id,entitlement_id,entitlement_start_date,entitlement_end_date,license_model,renewal_date,renewal_price,discount_applied,status
REN-00053,ENT-00185,2024-03-02,2026-03-02,Subscription,2024-02-03,23131.36,9.51,Active
REN-00054,ENT-00186,2025-11-21,2026-11-21,Usage-based,2025-11-14,34339.97,9.51,Active
REN-00055,ENT-00188,2025-05-18,2026-05-18,Concurrent,2025-05-01,37526.23,18.11,Active
REN-00056,ENT-00189,2025-09-05,2025-10-05,Concurrent,2025-09-01,49850.91,18.52,Cancelled
REN-00057,ENT-00192,2024-03-20,2025-03-20,Perpetual,2024-03-06,12114.64,24.63,Cancelled
REN-00058,ENT-00196,2026-06-27,2027-06-27,Concurrent,2026-06-10,37522.28,11.42,Active
REN-00059,ENT-00202,2026-12-08,2027-12-08,Named User,2026-11-25,44133.29,2.5,Active
REN-00060,ENT-00203,2024-04-01,2025-04-01,Perpetual,2024-03-05,39518.03,23.65,Active
REN-00061,ENT-00207,2024-01-09,2026-01-08,Subscription,2024-01-06,34849.1,20.25,Pending
REN-00062,ENT-00210,2026-10-21,2027-10-21,Usage-based,2026-09-27,51602.21,8.08,Active
REN-00063,ENT-00211,2024-12-26,2025-12-26,Concurrent,2024-12-20,9337.9,3.2,Active
REN-00064,ENT-00213,2025-07-12,2027-07-12,Perpetual,2025-06-26,36353.37,1.53,Active
REN-00065,ENT-00217,2024-01-13,2025-01-12,Perpetual,2023-12-17,6864.89,4.31,Active
REN-00066,ENT-00234,2027-07-04,2029-07-03,Named User,2027-06-08,10588.27,12.44,Active
REN-00067,ENT-00238,2024-12-19,2026-12-19,Concurrent,2024-12-07,20402.23,6.63,Cancelled
REN-00068,ENT-00239,2024-10-13,2025-01-11,Subscription,2024-10-02,6010.49,11.76,Active
REN-00069,ENT-00241,2024-05-03,2025-05-03,Named User,2024-05-01,31930.99,19.06,Active
REN-00070,ENT-00247,2024-12-06,2025-12-06,Perpetual,2024-12-05,3691.05,5.57,Active
REN-00071,ENT-00248,2025-12-07,2027-12-07,Perpetual,2025-12-03,34506.67,11.61,Cancelled
REN-00072,ENT-00251,2027-05-04,2029-05-03,Named User,2027-04-19,34634.77,15.08,Pending
REN-00073,ENT-00257,2026-07-22,2027-07-22,Concurrent,2026-06-23,19218.91,3.2,Active
REN-00074,ENT-00260,2025-12-01,2027-12-01,Concurrent,2025-11-09,52574.89,11.94,Pending
REN-00075,ENT-00266,2024-01-03,2024-04-02,Usage-based,2023-12-17,6672.06,23.56,Active
REN-00076,ENT-00268,2025-10-28,2026-10-28,Usage-based,2025-10-04,25924.92,10.1,Active
REN-00077,ENT-00271,2027-03-05,2029-03-04,Subscription,2027-02-24,12511.71,16.48,Active
REN-00078,ENT-00274,2024-10-19,2025-10-19,Subscription,2024-09-27,49081.69,12.92,Cancelled
REN-00079,ENT-00279,2024-03-10,2024-04-09,Named User,2024-02-28,4151.7,16.53,Cancelled
REN-00080,ENT-00280,2025-08-29,2026-08-29,Subscription,2025-08-05,52627.67,9.63,Active
REN-00081,ENT-00281,2026-12-04,2028-12-03,Concurrent,2026-11-28,38131.93,15.87,Active
REN-00082,ENT-00285,2026-06-13,2027-06-13,Named User,2026-06-02,33776.57,12.02,Active
REN-00083,ENT-00291,2025-09-03,2027-09-03,Subscription,2025-08-21,2435.14,5.37,Pending
REN-00084,ENT-00296,2026-07-15,2027-07-15,Usage-based,2026-06-21,43466.2,19.21,Active
REN-00085,ENT-00300,2024-12-10,2025-12-10,Perpetual,2024-12-01,2165.27,21.8,Active
REN-00086,ENT-00305,2025-12-13,2026-03-13,Perpetual,2025-11-21,18106.38,19.08,Active
REN-00087,ENT-00307,2024-01-17,2025-01-16,Subscription,2024-01-03,18932.57,24.12,Active
REN-00088,ENT-00308,2025-09-16,2026-09-16,Usage-based,2025-09-01,7144.59,3.01,Active
REN-00089,ENT-00314,2026-05-20,2027-05-20,Usage-based,2026-05-10,5120.6,13.83,Active
REN-00090,ENT-00324,2024-04-17,2026-04-17,Usage-based,2024-04-10,19319.19,17.01,Active
REN-00091,ENT-00327,2024-11-16,2026-11-16,Usage-based,2024-11-04,37186.74,19.5,Cancelled
REN-00092,ENT-00329,2025-07-29,2027-07-29,Perpetual,2025-07-12,10716.81,13.33,Active
REN-00093,ENT-00330,2025-10-15,2027-10-15,Perpetual,2025-09-28,39722.92,3.97,Cancelled
REN-00094,ENT-00339,2025-03-25,2027-03-25,Named User,2025-03-20,15787.25,23.88,Active
REN-00095,ENT-00344,2025-04-18,2025-07-17,Named User,2025-04-09,20647.22,24.23,Active
REN-00096,ENT-00345,2024-12-27,2025-12-27,Perpetual,2024-11-28,7802.76,10.53,Active
REN-00097,ENT-00346,2025-01-30,2026-01-30,Named User,2025-01-25,12356.88,7.5,Active
REN-00098,ENT-00349,2024-05-26,2026-05-26,Named User,2024-05-08,50252.65,5.22,Active
REN-00099,ENT-00352,2024-11-30,2024-12-30,Subscription,2024-11-28,52273.82,3.51,Active
REN-00100,ENT-00358,2026-04-24,2028-04-23,Usage-based,2026-03-30,28846.12,24.41,Active
REN-00101,ENT-00364,2025-09-02,2026-09-02,Named User,2025-08-12,41821.55,14.79,Active
REN-00102,ENT-00365,2024-11-03,2025-11-03,Subscription,2024-10-31,41582.21,23.73,Active
REN-00103,ENT-00375,2025-07-31,2026-07-31,Usage-based,2025-07-27,30210.19,14.65,Active
REN-00104,ENT-00378,2025-04-13,2025-07-12,Concurrent,2025-03-22,17981.49,8.19,Active
REN-00105,ENT-00381,2024-08-15,2026-08-15,Perpetual,2024-08-11,7692.04,14.96,Active
REN-00106,ENT-00383,2026-08-20,2027-08-20,Perpetual,2026-08-10,18056.3,13.53,Active
REN-00107,ENT-00392,2024-08-02,2026-08-02,Subscription,2024-07-22,54532.22,23.74,Cancelled
REN-00108,ENT-00393,2024-02-23,2025-02-22,Subscription,2024-02-19,23230.0,10.65,Active
REN-00109,ENT-00397,2025-01-01,2027-01-01,Perpetual,2024-12-09,27475.29,12.18,Active
REN-00110,ENT-00401,2025-12-13,2027-12-13,Usage-based,2025-12-09,12527.35,18.29,Active
REN-00111,ENT-00410,2025-03-18,2027-03-18,Concurrent,2025-03-02,2987.84,24.08,Active
REN-00112,ENT-00411,2025-06-10,2027-06-10,Concurrent,2025-06-06,5844.8,7.01,Active
REN-00113,ENT-00414,2025-11-06,2026-11-06,Concurrent,2025-10-16,46904.43,10.49,Pending
REN-00114,ENT-00419,2027-01-09,2029-01-08,Usage-based,2026-12-17,10547.1,6.07,Active
REN-00115,ENT-00421,2025-03-31,2027-03-31,Named User,2025-03-17,24280.7,2.6,Active
REN-00116,ENT-00431,2024-11-21,2026-11-21,Concurrent,2024-11-08,12358.03,21.76,Active
REN-00117,ENT-00434,2024-05-30,2024-06-29,Usage-based,2024-05-11,6811.04,16.07,Active
REN-00118,ENT-00435,2027-05-07,2029-05-06,Usage-based,2027-05-03,29875.88,5.97,Active
REN-00119,ENT-00438,2026-10-17,2028-10-16,Named User,2026-09-18,23750.29,20.38,Active
REN-00120,ENT-00441,2026-10-17,2028-10-16,Perpetual,2026-09-21,34376.15,11.52,Active
REN-00121,ENT-00443,2025-12-26,2026-12-26,Named User,2025-11-29,18484.24,18.61,Active
