customer_id,name,location,contact_email,phone,industry,company_size,created_date,status
CUST-0059,"Wallace, Miller and Fleming","Elizabethland, Mexico",patricia22@hicks-martinez.com,(437)305-8957,Technology,Large (501-5000),2024-04-11,Active
CUST-0060,"Higgins, Fox and Hammond","East Teresaland, Korea",wfrazier@humphrey.org,(426)480-1824,Finance,Medium (51-500),2024-01-21,Active
CUST-0061,"Jacobson, Singleton and King","Davidport, Nicaragua",shawgary@moore.org,690-601-0943x96907,Manufacturing,Medium (51-500),2025-07-01,Active
CUST-0062,Evans-Jones,"East Scottfort, Kyrgyz Republic",matthewthomas@flores.biz,(658)981-5371,Healthcare,Medium (51-500),2022-12-30,Active
CUST-0063,Roberts Group,"Wrightburgh, Suriname",sarah53@jimenez.info,247.601.6873x3950,Manufacturing,Enterprise (5000+),2023-10-19,Active
CUST-0064,"Smith, Rodriguez and Anderson","Jessicafurt, Haiti",moralesashley@cox.com,(787)484-9912x1655,Healthcare,Enterprise (5000+),2024-09-16,Active
CUST-0065,Williams and Sons,"Lindahaven, Korea",catherinerobertson@velazquez-flores.biz,+1-749-758-8879x470,Education,Small (1-50),2024-05-10,Active
CUST-0066,"Parker, Roach and Wiggins","New Thomasshire, Morocco",jennifersilva@warren.org,001-562-830-9130x75626,Retail,Enterprise (5000+),2022-11-06,Active
CUST-0067,"Taylor, Clark and Nguyen","Foxmouth, Zimbabwe",stevepatel@gomez.com,+1-773-934-8434x437,Finance,Large (501-5000),2023-10-23,Active
CUST-0068,Berry PLC,"Huangfurt, Svalbard & Jan Mayen Islands",stephanie24@roberts.com,(574)573-3848x421,Technology,Medium (51-500),2025-04-19,Active
CUST-0069,Williams Group,"Jenniferville, Pitcairn Islands",adampierce@russell.info,+1-434-254-0193x8026,Manufacturing,Enterprise (5000+),2023-05-18,Active
CUST-0070,"Hayden, Howe and Mcdowell","West Ashleyville, Vanuatu",justin88@small-anderson.net,543.415.2742x054,Retail,Enterprise (5000+),2024-05-27,Suspended
CUST-0071,"Murphy, Morales and Davis","South Marcus, Egypt",greenjoe@finley-turner.org,8456301742,Education,Small (1-50),2025-04-20,Active
CUST-0072,Richardson-Walker,"South Eric, San Marino",robert87@pham.org,587-485-1910,Healthcare,Large (501-5000),2024-10-18,Active
CUST-0073,Wilson-Harris,"Davishaven, Kiribati",chavezwilliam@elliott-hansen.com,001-206-340-3910x6518,Manufacturing,Small (1-50),2023-10-21,Active
CUST-0074,White-Taylor,"Brooksfurt, Kiribati",rbennett@baxter.com,(986)882-3004,Retail,Enterprise (5000+),2023-07-24,Active
CUST-0075,Murray and Sons,"Jacobville, Antigua and Barbuda",bmendez@harris.org,5792030673,Healthcare,Large (501-5000),2023-07-31,Active
CUST-0076,"Johnston, Ray and Barton","Joelberg, Panama",roberthill@fry.biz,+1-470-656-8566,Manufacturing,Medium (51-500),2024-11-14,Active
CUST-0077,Allen-Perez,"Port Steven, Azerbaijan",jfaulkner@anderson.com,551.583.0469x901,Manufacturing,Medium (51-500),2024-01-01,Active
CUST-0078,Krueger-Smith,"Lake David, Saudi Arabia",srocha@padilla.com,001-746-578-5445x87717,Finance,Large (501-5000),2024-05-06,Active
CUST-0079,Hart and Sons,"North Jose, Vietnam",mphillips@hall-hudson.com,485.247.7725x2287,Retail,Small (1-50),2022-11-25,Active
CUST-0080,"Williams, Smith and Taylor","North Jasmine, Algeria",williambrooks@little.info,6082860084,Retail,Enterprise (5000+),2023-05-07,Active
CUST-0081,Hull PLC,"East James, Malta",lisa46@watson.info,001-833-941-0166,Technology,Small (1-50),2025-07-28,Inactive
CUST-0082,Miller Group,"Arielville, Ukraine",hallrachel@clay.com,+1-448-590-2503x92614,Retail,Enterprise (5000+),2025-06-18,Active
CUST-0083,"Rivera, Campos and Taylor","New Juliestad, Austria",kimmary@jacobs-austin.org,(850)347-7358x6629,Retail,Large (501-5000),2023-08-19,Active
CUST-0084,"Jones, Adams and James","Lake Peter, Guyana",davissherry@ward-nelson.com,226-378-8861,Finance,Small (1-50),2025-02-14,Active
CUST-0085,"Mueller, Shields and Smith","Hughesland, Saint Kitts and Nevis",ashleyjackson@jackson-adams.com,921.526.4647x1543,Manufacturing,Small (1-50),2023-02-28,Active
CUST-0086,Smith-Foster,"Brockmouth, Kazakhstan",ryan92@flores-valentine.com,752.365.4793x5646,Retail,Medium (51-500),2025-02-06,Active
CUST-0087,"White, Saunders and Johnson","Hahnborough, Kazakhstan",marie16@porter.com,001-266-717-9796x886,Education,Small (1-50),2023-01-18,Active
CUST-0088,Sandoval LLC,"Lake Cheyenne, Mongolia",vrasmussen@rodriguez-garcia.com,288.999.3756x79825,Technology,Large (501-5000),2024-05-09,Active
CUST-0089,Wilson Ltd,"West Larry, Korea",adrianabailey@kim.info,714-801-0512x38282,Manufacturing,Medium (51-500),2024-04-22,Inactive
CUST-0090,"Lopez, Davidson and Reynolds","Lake Christinaborough, Korea",tprice@harris.com,001-618-925-5371,Retail,Large (501-5000),2025-02-14,Active
CUST-0091,Carr-Matthews,"Michaelmouth, Niger",lisamccarthy@sellers-lawrence.com,813-841-2528x66929,Healthcare,Enterprise (5000+),2025-04-15,Active
CUST-0092,"Steele, Brewer and Cooke","South Keith, Colombia",megan90@crane-washington.com,(588)676-7677x2190,Technology,Large (501-5000),2023-07-17,Active
CUST-0093,"Roberts, Norman and Cunningham","Dunnville, Montserrat",adamsamy@weaver-sherman.info,+1-736-313-4074,Manufacturing,Small (1-50),2023-08-05,Active
CUST-0094,Cochran PLC,"Michellechester, Chad",kristenli@hudson.com,+1-282-654-4948x126,Education,Medium (51-500),2025-07-26,Active
CUST-0095,Wright Ltd,"Mariafurt, Liechtenstein",barbaraadams@brooks-jones.com,(884)557-7590x1751,Manufacturing,Medium (51-500),2024-09-08,Active
CUST-0096,Morris-Campbell,"New Melissa, Solomon Islands",patricia00@sims.com,427-670-6324,Technology,Large (501-5000),2023-08-25,Active
CUST-0097,Watson Ltd,"North Randy, Gambia",rubendavis@smith.com,(893)487-0051,Manufacturing,Small (1-50),2023-07-23,Active
CUST-0098,Davis-Shaffer,"West Michaelport, Burundi",wayala@may.com,489-809-2753,Retail,Enterprise (5000+),2023-07-05,Active
CUST-0099,Mosley and Sons,"New Jessicastad, Japan",kylie34@miller.org,804-338-9836x4037,Healthcare,Enterprise (5000+),2025-04-19,Active
CUST-0100,"Jones, Oneal and Smith","Sarahberg, Iceland",rdiaz@farmer.com,001-610-843-0068,Manufacturing,Enterprise (5000+),2022-12-08,Active
CUST-0101,"Herrera, Jensen and Ramirez","Christianborough, Sri Lanka",amandamyers@hines.com,001-663-403-1617x990,Technology,Small (1-50),2023-03-03,Active
CUST-0102,"Smith, Crawford and Reed","Garyberg, San Marino",jessica10@roman-nelson.com,491-677-8507x925,Technology,Small (1-50),2023-07-22,Active
CUST-0103,"Hicks, Williams and Roy","North Thomas, Hungary",haroldhorne@tran.biz,353.265.4195,Healthcare,Medium (51-500),2024-10-11,Active
CUST-0104,Finley Inc,"Clineport, Greece",tranalan@carter.org,275.897.3832,Technology,Medium (51-500),2024-11-20,Active
CUST-0105,Fields-Steele,"West Aaronfurt, Thailand",dalton83@vasquez-brown.com,001-441-803-8657x191,Technology,Small (1-50),2024-06-07,Inactive
CUST-0106,"Brandt, Young and Green","Sarafurt, Reunion",louis43@harding.org,721-527-7561,Manufacturing,Large (501-5000),2024-07-21,Active
CUST-0107,Phelps-Davis,"Margaretton, Cuba",eddie35@palmer-byrd.com,(306)478-8317,Technology,Small (1-50),2022-11-05,Active
CUST-0108,Anderson Group,"Ginaland, Myanmar",samantha10@gonzalez.info,(815)810-7029,Manufacturing,Small (1-50),2024-03-18,Active
CUST-0109,"Simmons, Gomez and Odonnell","Joshuaberg, Antigua and Barbuda",deborahporter@mendoza.biz,983.780.6578,Retail,Large (501-5000),2024-03-27,Active
CUST-0110,White-Flores,"North Paula, Slovakia (Slovak Republic)",brian78@wang-key.com,733-448-0396,Healthcare,Medium (51-500),2025-02-07,Active
CUST-0111,Drake-Wolfe,"Lake Jackieshire, Mongolia",annalopez@weaver-thompson.com,703-593-0870,Healthcare,Large (501-5000),2023-05-04,Active
CUST-0112,Brown-Hernandez,"Port Daniel, Malta",susan56@garcia.com,001-667-452-8953x9264,Healthcare,Small (1-50),2025-07-27,Active
CUST-0113,"Myers, Gamble and Sanford","East Carriebury, Northern Mariana Islands",zunigadonald@miller.com,001-257-804-3315x410,Manufacturing,Enterprise (5000+),2023-04-17,Inactive
CUST-0114,Snyder-Gray,"Garciafort, Solomon Islands",franciscojones@phillips.com,715-926-2181,Education,Small (1-50),2024-06-02,Active
CUST-0115,"Martin, Preston and Moore","West Jamieborough, Ireland",donna43@williams.net,520.450.6149x7310,Education,Large (501-5000),2022-12-07,Active
CUST-0116,Anthony-Parker,"Ruizview, Bermuda",ylopez@lopez-williams.info,543.249.0211x586,Manufacturing,Enterprise (5000+),2024-11-10,Inactive
CUST-0117,"Camacho, Wells and Keith","Evansfurt, United Kingdom",shawrachel@byrd.info,(523)432-0616,Retail,Large (501-5000),2023-12-11,Active
CUST-0118,"Sloan, Jones and Hughes","Arnoldview, Mali",astark@dean.biz,(629)799-1191,Manufacturing,Large (501-5000),2024-03-19,Active
CUST-0119,"Washington, Lynch and Johnson","Richardfurt, Argentina",vpreston@young.com,6549447132,Finance,Large (501-5000),2024-05-10,Inactive
CUST-0120,"Brewer, Lopez and Lewis","Figueroahaven, Trinidad and Tobago",lori82@collins.biz,(289)902-3303,Technology,Large (501-5000),2025-07-31,Active
CUST-0121,Hill Group,"Reidville, Pitcairn Islands",allentracy@thompson-harrell.org,+1-255-424-1406,Retail,Medium (51-500),2023-07-11,Active
CUST-0122,"Perez, Clark and Pearson","Port Kimberlytown, Lebanon",deborahburke@walker.com,001-846-365-7437x489,Technology,Large (501-5000),2024-12-21,Inactive
CUST-0123,"Wheeler, Campbell and Cohen","Brownview, Northern Mariana Islands",michelle44@hernandez.com,+1-565-720-7446x660,Education,Medium (51-500),2025-07-03,Active
CUST-0124,"Little, Alvarez and Shepard","Williamburgh, Tajikistan",kellyruiz@green.com,+1-351-935-3465x54947,Technology,Small (1-50),2024-08-04,Active
CUST-0125,Mason Ltd,"Morenochester, Austria",derrickgonzalez@benitez-orozco.info,(252)917-5250,Finance,Medium (51-500),2023-04-20,Active
CUST-0126,"Duran, Burns and Gallagher","East Christinachester, Iraq",ysanford@johnson.com,6584300335,Technology,Enterprise (5000+),2024-09-21,Active
CUST-0127,"Torres, Brown and Williams","Stephenhaven, Nepal",ryan25@howard-lopez.biz,3337230982,Education,Small (1-50),2024-03-06,Active
CUST-0128,"Scott, Nichols and Williams","Lake Danieltown, Australia",butleromar@king.com,661-384-9926x1891,Technology,Enterprise (5000+),2023-06-06,Inactive
CUST-0129,"Gonzalez, Baker and Mills","West Jade, French Polynesia",benjamincrawford@watts.com,300.311.9721,Finance,Medium (51-500),2024-07-11,Active
CUST-0130,Baker-Williams,"Port Benjamin, French Guiana",laurie56@wilson.com,(725)457-9415,Technology,Enterprise (5000+),2024-04-14,Active
CUST-0131,Nelson-Cruz,"Marshburgh, Bouvet Island (Bouvetoya)",heatherbrown@garcia.info,001-972-996-5902,Technology,Enterprise (5000+),2024-06-16,Active
CUST-0132,Brown Ltd,"Alexanderhaven, Seychelles",tiffanysantiago@stone-watts.org,263-275-6289,Education,Medium (51-500),2024-09-25,Active
CUST-0133,Christian-Booth,"Port Travisbury, Greenland",brent38@gray.info,001-371-877-5170,Manufacturing,Small (1-50),2024-12-14,Active
CUST-0134,"Smith, Davis and Munoz","Pamelaside, Costa Rica",xclements@velasquez.com,+1-299-775-7113,Finance,Large (501-5000),2024-11-29,Active
CUST-0135,"Brooks, Rodriguez and Prince","Taylorchester, Botswana",cheryl31@lewis-summers.com,001-951-260-9177x982,Retail,Small (1-50),2024-12-08,Inactive
CUST-0136,Roberson-Webb,"Lake Beth, Saint Martin",dalesandoval@andrade.org,001-634-765-4722x698,Education,Medium (51-500),2023-06-10,Active
CUST-0137,Weber LLC,"Samanthaberg, Russian Federation",williambenson@page-hodges.net,299.268.4608x1062,Healthcare,Large (501-5000),2023-04-09,Active
CUST-0138,Vega-Thomas,"Lake Kristenborough, Sao Tome and Principe",howardshaun@parrish.net,(538)940-6665x8004,Healthcare,Large (501-5000),2025-02-01,Active
CUST-0139,"Rodgers, Gonzalez and Hardy","West Shane, Pitcairn Islands",lopezglenn@wilson.com,(429)740-5720,Retail,Small (1-50),2025-03-30,Active
CUST-0140,"Cameron, Turner and Tyler","Charlesmouth, Malta",susanmeyer@moore.com,935.255.4398,Technology,Large (501-5000),2024-06-24,Suspended
CUST-0141,Conway PLC,"North Felicia, Gibraltar",hmoon@scott-ramsey.com,258.387.7043x58112,Healthcare,Medium (51-500),2025-07-01,Suspended
CUST-0142,Houston-Harris,"Lucasland, San Marino",andrewlove@miller.com,281-893-4667x665,Education,Small (1-50),2024-11-09,Active
CUST-0143,May PLC,"Port Julieton, Reunion",howardwesley@buchanan-turner.com,476-660-7283x2684,Education,Large (501-5000),2022-08-19,Active
CUST-0144,"Baxter, Thomas and Williams","Medinaland, Gambia",kaitlinberger@lewis-whitehead.net,(222)939-4312,Education,Small (1-50),2023-10-27,Active
CUST-0145,"Jones, Garcia and Swanson","Lynnstad, Brunei Darussalam",craigharvey@stewart.com,+1-549-529-9556x205,Education,Enterprise (5000+),2023-10-05,Active
CUST-0146,Taylor-Quinn,"Fordstad, Singapore",tony12@obrien.com,+1-834-511-0809,Technology,Large (501-5000),2024-11-23,Active
CUST-0147,"Kennedy, Rowe and Diaz","Port Brittany, Togo",dennis88@sanders.com,+1-239-528-2722x99275,Manufacturing,Medium (51-500),2022-11-07,Active
CUST-0148,Wood-Williams,"New Rebecca, Guyana",dharrison@williams.com,884-749-8926,Retail,Small (1-50),2024-10-12,Active
CUST-0149,Bennett-Solomon,"Gomezstad, Libyan Arab Jamahiriya",aeaton@macias.net,+1-943-922-2591x3651,Manufacturing,Medium (51-500),2025-02-04,Active
CUST-0150,Holland Group,"East Bradleyshire, Nauru",dennishunt@thomas.net,(899)404-1379x7723,Retail,Medium (51-500),2025-03-27,Active
